AAA	AAA	Anaa Airport	Anaa		PF	170300S	1452500W	2	A
AAB	AAB	Arrabury Airport	Arrabury	QL	AU	264200S	1410230E	2B	A
AAC	AAC	Al Arish Airport	Al Arish		EG	310800N	0334500E	0	A
AAD	AAD	Ad-Dabbah Airport	Ad-Dabbah		SD	180300N	0305700E	0	A
AAE	AAE	Les Salines Airport	Annaba		DZ	364918N	0074836E	0	A
AAF	AAF	Apalachicola Municipal Airport	Apalachicola	FL	US	294400N	0845900W	1	A
AAG	AAG	Arapoti Airport	Arapoti	PR	BR	240613S	0494724W	1	A
AAH	AAH	Aachen/Merzbruck Airport	Aachen		DE	504500N	0060800E	0	A
AAI	AAI	Arraias Airport	Arraias	TO	BR	125500S	0465600W	1A	A
AAJ	AAJ	Cayana Airstrip	Awaradam		SR	035400N	0552200W	0	A
AAK	AAK	Aranuka Airport	Aranuka		KI	001000N	1733500E	1	A
AAL	AAL	Aalborg Airport	Aalborg		DK	570535N	0095100E	0	A
AAM	AAM	Mala Mala Airport	Mala Mala		ZA	244800S	0313200E	0	A
AAN	AAN	Al Ain Airport	Al Ain		AE	241500N	0554500E	0	A
AAO	AAO	Anaco Airport	Anaco		VE	092555N	0642750W	0	A
AAP	HOU	Andrau Airpark	Houston	TX	US	295000N	0954000W	2	A
AAQ	AAQ	Anapa Airport	Anapa		RU	445400N	0371900E	2	A
AAR	AAR	Tirstrup Airport	Aarhus		DK	561837N	0103705E	0	A
AAS	AAS	Apalapsili Airport	Apalapsili		ID	035500S	1391500E	3	A
AAT	AAT	Altay Airport	Altay		CN	435600N	0893000E	0	A
AAU	AAU	Asau Airport	Asau		WS	132730S	1723600W	0	A
AAV	AAV	Alah Airport	Alah		PH	062000N	1244600E	0	A
AAW	AAW	Abbottabad Airport	Abbottabad		PK	341200N	0731500E	0	A
AAX	AAX	Araxa Airport	Araxa	MG	BR	193405S	0465545W	1	A
AAY	AAY	Al Ghaydah Airport	Al Ghaydah		YE	161200N	0521100E	0	A
ABA	ABA	Abakan Airport	Abakan		RU	534300N	0913000E	6	A
ABB	ABB	Royal Air Force Station	Abingdon	EN	GB	514000N	0011700W	0	M
ABC	ABC	Los Llanos Airport	Albacete	SP	ES	385654N	0015148W	1	A
ABD	ABD	Abadan Airport	Abadan		IR	302200N	0481400E	0	A
ABE	ABE	Lehigh Valley International Airport	Allentown	PA	US	403917N	0752618W	1	A
ABF	ABF	Abaiang Airport	Abaiang		KI	014015N	1731815E	1	A
ABG	ABG	Abingdon Airport	Abingdon	QL	AU	174000S	1431200E	2B	A
ABH	ABH	Alpha Airport	Alpha	QL	AU	233900S	1463800E	2B	A
ABI	ABI	Abilene Municipal Airport	Abilene	TX	US	322434N	0994047W	2	A
