Airline,Group,Alliance,Segment
Air Berlin,Air Berlin (AB),Oneworld Alliance,Hybrid Airline
Air Nostrum,Iberia Airlines (IB),Oneworld Alliance,Full Service Carrier
Air Nostrum,IAG Group (BA/IB),Oneworld Alliance,Full Service Carrier
American Airlines,American Airlines (AA),Oneworld Alliance,Full Service Carrier
American Eagle Airlines,American Airlines (AA),Oneworld Alliance,Full Service Carrier
British Airways,British Airways (BA),Oneworld Alliance,Full Service Carrier
British Airways,IAG Group (BA/IB),Oneworld Alliance,Full Service Carrier
Cathay Pacific,Cathay Pacific (CX),Oneworld Alliance,Full Service Carrier
Comair,British Airways (BA),Oneworld Alliance,Full Service Carrier
Comair,IAG Group (BA/IB),Oneworld Alliance,Full Service Carrier
Dragonair ,Cathay Pacific (CX),Oneworld Alliance,Charter Airline
Finnair,Finnair (AY),Oneworld Alliance,Full Service Carrier
GloBus,No group,Oneworld Alliance,Full Service Carrier
Iberia Airlines,Iberia Airlines (IB),Oneworld Alliance,Full Service Carrier
Iberia Airlines,IAG Group (BA/IB),Oneworld Alliance,Full Service Carrier
Iberia Express,Iberia Airlines (IB),Oneworld Alliance,Low Cost Carrier
Iberia Express,IAG Group (BA/IB),Oneworld Alliance,Low Cost Carrier
J-Air,Japan Airlines International (JL),Oneworld Alliance,Full Service Carrier
JAL Express,Japan Airlines International (JL),Oneworld Alliance,Low Cost Carrier
Jalways,Japan Airlines International (JL),Oneworld Alliance,Full Service Carrier
Japan Airlines International,Japan Airlines International (JL),Oneworld Alliance,Full Service Carrier
Japan Transocean Air,Japan Airlines International (JL),Oneworld Alliance,Full Service Carrier
LAN Airlines,LAN Airlines (LA),Oneworld Alliance,Full Service Carrier
LAN Airlines,LANTAM Group (LA/TA),Oneworld Alliance,Full Service Carrier
LAN Argentina,LAN Airlines (LA),Oneworld Alliance,Full Service Carrier
LAN Argentina,LANTAM Group (LA/JJ),Oneworld Alliance,Full Service Carrier
LanEcuador,LAN Airlines (LA),Oneworld Alliance,Full Service Carrier
LanEcuador,LANTAM Group (LA/JJ),Oneworld Alliance,Full Service Carrier
LANExpress,LAN Airlines (LA),Oneworld Alliance,Full Service Carrier
LANExpress,LANTAM Group (LA/JJ),Oneworld Alliance,Full Service Carrier
LanPeru,LAN Airlines (LA),Oneworld Alliance,Full Service Carrier
LanPeru,LANTAM Group (LA/JJ),Oneworld Alliance,Full Service Carrier
Niki,Air Berlin (AB),Oneworld Alliance,Hybrid Airline
Qantas,Qantas (QF),Oneworld Alliance,Full Service Carrier
Royal Jordanian Airlines,No group,Oneworld Alliance,Full Service Carrier
S7 Airlines,No group,Oneworld Alliance,Full Service Carrier
Sun Air,No group,Oneworld Alliance,Full Service Carrier
Aeroflot Russian Airlines,Aeroflot Russian Airlines (SU),Skyteam Alliance,Full Service Carrier
Aeroflot-Nord,Aeroflot Russian Airlines (SU),Skyteam Alliance,Full Service Carrier
Aeromexico,Aeromexico (AM),Skyteam Alliance,Full Service Carrier
Aeromexico Connect,Aeromexico (AM),Skyteam Alliance,Full Service Carrier
Air Europa,No group,Skyteam Alliance,Full Service Carrier
Air France,Air France/ KLM (AF/KL),Skyteam Alliance,Full Service Carrier
Air France,Air France (AF),Skyteam Alliance,Full Service Carrier
Alitalia,Alitalia (AZ),Skyteam Alliance,Full Service Carrier
Brit Air,Air France/ KLM (AF/KL),Skyteam Alliance,Full Service Carrier
Brit Air,Air France (AF),Skyteam Alliance,Full Service Carrier
C.A.I First,Alitalia (AZ),Skyteam Alliance,Full Service Carrier
China Airlines,China Airlines (CI),Skyteam Alliance,Full Service Carrier
China Eastern Airlines,China Eastern Airlines (MU),Skyteam Alliance,Full Service Carrier
China Southern Airlines,No group,Skyteam Alliance,Full Service Carrier
Cityjet,Air France/ KLM (AF/KL),Skyteam Alliance,Full Service Carrier
Cityjet,Air France (AF),Skyteam Alliance,Full Service Carrier
Comair Inc.,Delta Air Lines (DL),Skyteam Alliance,Full Service Carrier
Compass Airlines,Delta Air Lines (DL),Skyteam Alliance,Full Service Carrier
Czech Airlines CSA,No group,Skyteam Alliance,Full Service Carrier
Delta Air Lines,Delta Air Lines (DL),Skyteam Alliance,Full Service Carrier
Donavia,Aeroflot Russian Airlines (SU),Skyteam Alliance,Full Service Carrier
Kenya Airways,No group,Skyteam Alliance,Full Service Carrier
KLM CityHopper,Air France/ KLM (AF/KL),Skyteam Alliance,Full Service Carrier
KLM CityHopper,KLM Royal Dutch Airlines (KL),Skyteam Alliance,Full Service Carrier
KLM Royal Dutch Airlines,Air France/ KLM (AF/KL),Skyteam Alliance,Full Service Carrier
KLM Royal Dutch Airlines,KLM Royal Dutch Airlines (KL),Skyteam Alliance,Full Service Carrier
Korean Air,No group,Skyteam Alliance,Full Service Carrier
Martinair,Air France/ KLM (AF/KL),Skyteam Alliance,Hybrid Airline
Martinair,KLM Royal Dutch Airlines (KL),Skyteam Alliance,Hybrid Airline
Mesaba Airlines,Delta Air Lines (DL),Skyteam Alliance,Full Service Carrier
Middle East Airlines,No group,Skyteam Alliance,Full Service Carrier
Regional,Air France/ KLM (AF/KL),Skyteam Alliance,Full Service Carrier
Regional,Air France (AF),Skyteam Alliance,Full Service Carrier
Saudi Arabian Airlines,No group,Skyteam Alliance,Full Service Carrier
Tarom,No group,Skyteam Alliance,Full Service Carrier
Vietnam Airlines,No group,Skyteam Alliance,Full Service Carrier
VLM Airlines,Air France/ KLM (AF/KL),Skyteam Alliance,Full Service Carrier
VLM Airlines,Air France (AF),Skyteam Alliance,Full Service Carrier
Xiamen Airlines,No group,Skyteam Alliance,Full Service Carrier
Adria Airways,No group,Star Alliance,Full Service Carrier
Aegean Airlines,No group,Star Alliance,Full Service Carrier
Air Canada,Air Canada (AC),Star Alliance,Full Service Carrier
Air China,Air China (CA),Star Alliance,Full Service Carrier
Air New Zealand,Air New Zealand (NZ),Star Alliance,Full Service Carrier
All Nippon Airways,All Nippon Airways (NH),Star Alliance,Full Service Carrier
Asiana Airlines,Asiana Airlines (OZ),Star Alliance,Full Service Carrier
Austrian Airlines,Austrian Airlines (OS),Star Alliance,Full Service Carrier
Avianca,Avianca (AV),Star Alliance,Full Service Carrier
Avianca,AviancaTaca Group (AV/TA),Star Alliance,Full Service Carrier
Brussels Airlines,Lufthansa (LH),Star Alliance,Full Service Carrier
Continental Airlines,Continental Airlines (CO),Star Alliance,Full Service Carrier
Copa Airlines,Copa Airlines (CM),Star Alliance,Full Service Carrier
Croatia Airlines,No group,Star Alliance,Full Service Carrier
Egyptair,Egyptair (MS),Star Alliance,Full Service Carrier
Ethiopian Airlines,No group,Star Alliance,Full Service Carrier
LOT Polish Airlines,LOT Polish Airlines (LO),Star Alliance,Full Service Carrier
Lufthansa,Lufthansa (LH),Star Alliance,Full Service Carrier
Scandinavian Airlines,Scandinavian Airlines (SK),Star Alliance,Full Service Carrier
Shenzhen Airlines,No group,Star Alliance,Full Service Carrier
Singapore Airlines,Singapore Airlines (SQ),Star Alliance,Full Service Carrier
South African Airways,South African Airways (SA),Star Alliance,Full Service Carrier
Swiss,Lufthansa (LH),Star Alliance,Full Service Carrier
TACA International Airlines,TACA International Airlines (TA),Star Alliance,Full Service Carrier
TACA International Airlines,AviancaTaca Group (AV/TA),Star Alliance,Full Service Carrier
TAM Linhas Aereas,TAM Linhas Aereas (JJ),Star Alliance,Full Service Carrier
TAM Linhas Aereas,LANTAM Group (LA/TA),Star Alliance,Full Service Carrier
TAP Portugal,TAP Portugal (TP),Star Alliance,Full Service Carrier
Thai Airways,Thai Airways (TG),Star Alliance,Full Service Carrier
THY Turkish Airlines,THY Turkish Airlines (TK),Star Alliance,Full Service Carrier
United Airlines,No group,Star Alliance,Full Service Carrier
US Airways,US Airways (US),Star Alliance,Full Service Carrier
