dep_city^distance^page_rank^dist_weighted_by_page_rank
LNE- A^   399^0.01087658075380000013^    4345
WNZ-CA^    84^0.03899360845259999819^    3275
NAQ- A^   111^0.02541373498260000169^    2815
YIK- A^   105^0.02026449999510000072^    2121
SVA- A^   110^0.01815046169719999880^    1995
MDL-CA^    30^0.06114427050110000234^    1847
ZGU-CA^   134^0.01160966701919999983^    1550
ZLN- R^    79^0.01794093834540000029^    1417
TBG-CA^    97^0.01291140580600000018^    1257
YHU- A^    89^0.01347975276470000060^    1194
MXH-CA^   107^0.01115435670470000043^    1190
WUX- A^    47^0.02477071197129999958^    1156
LXA- A^    49^0.02040442649459999966^     996
NAS- C^    13^0.07853809713999999886^     990
MSA-CA^    46^0.02140236443149999904^     985
DGA- A^    43^0.02258906990969999917^     973
EDI- C^    11^0.08628812737400000377^     949
IZM- C^    16^0.05937199549279999905^     936
MEM- C^    14^0.06869658051560000034^     933
NKI-CA^    55^0.01680562577980000000^     932
TNO- A^    78^0.01147725527010000010^     893
MSQ- C^    31^0.02913666238429999875^     891
NME- A^    38^0.02313138302770000043^     890
JAX- C^    18^0.04609630556589999761^     839
GLA- C^    11^0.07456514536260000492^     821
XNA- A^    34^0.02430896630999999919^     817
AGM- A^    17^0.04696389013559999770^     801
SAT- C^    12^0.06210211387060000227^     768
BHX- C^    11^0.07037253799890000328^     757
ATT- A^    32^0.02311373602139999914^     744
ZKE-CA^    24^0.03061187504369999868^     744
TSN- C^    15^0.05022230355260000334^     743
BZE- C^    13^0.05833984824459999968^     732
AUS- C^    11^0.06725165317589999747^     719
CCV-CA^    46^0.01496848200610000068^     687
DSN-CA^    41^0.01664333096899999961^     687
GZO- A^    17^0.04082527318580000258^     687
CMH- C^    10^0.06723122347290000356^     672
YQC- A^    31^0.02133282747700000065^     666
SVG- C^    12^0.05598233674719999692^     658
BUF- C^    13^0.04751961257299999741^     635
JNS- H^    31^0.02023443770200000075^     633
ZAZ- C^    14^0.04611354682280000006^     633
FIH- C^    17^0.03768554200460000336^     631
BEG- C^    12^0.05064860935289999810^     630
YAY-CA^    35^0.01788189358700000009^     628
FRU- A^    25^0.02513663992989999957^     626
MRE- A^    27^0.02274316916490000048^     604
BOD- C^    11^0.05506423689119999826^     593
KDI- A^    43^0.01354046736999999986^     587
MKE- C^    10^0.05693650181149999961^     582
ALC- C^    10^0.05995500325840000255^     581
OAK- C^    10^0.05502573490649999982^     563
RIC- C^    14^0.04149998648909999921^     562
TAH-CA^    16^0.03498871989539999866^     559
HAJ- C^    11^0.05275830953329999767^     559
DAY- C^    16^0.03322908221399999834^     535
BDJ-CA^    18^0.03044985463660000030^     534
XNN- A^    21^0.02472647994379999908^     530
OPO- C^    12^0.04261805615739999720^     530
GYD- A^    17^0.03018597661779999844^     516
YBB- A^    39^0.01303205360840000056^     503
KGX- A^    25^0.01989767943330000149^     503
BAK- C^    16^0.03018597661779999844^     498
AKV- A^    25^0.01938172007810000028^     494
YNT- A^    18^0.02746501666629999963^     488
YQD- C^    19^0.02421736898659999915^     472
NTL- C^    16^0.02956133462689999880^     462
TJM-CA^    13^0.03422609588859999719^     452
OKC- C^    11^0.03978863463039999937^     448
GES- A^    44^0.01017157331409999921^     444
GSP- C^    17^0.02609773685389999917^     436
ALB- C^    11^0.03858531650400000290^     435
WEH-CA^    37^0.01184309442479999919^     433
NAY- A^    13^0.03277726490249999874^     431
BUS-CA^    41^0.01035260329699999940^     428
SXB- C^    10^0.04247244825049999867^     418
KTW- C^    24^0.01712162846279999956^     416
BEJ-CA^    30^0.01350425612339999949^     403
CZX-CA^    28^0.01413715882840000000^     398
ILD- C^    14^0.02821996991289999965^     398
HSV- C^    20^0.01964450694550000029^     396
ILO-CA^    14^0.02807190539880000113^     396
VLL- C^    12^0.03280541355000000242^     396
HSN-CA^    62^0.00625653403590000021^     385
BCD-CA^    18^0.02057713670719999929^     365
CQM- C^    14^0.02482313748289999983^     356
TUS- C^    12^0.03018968803390000011^     356
YHR-CA^    10^0.03447293142619999723^     355
YPJ- A^    25^0.01376170462089999942^     350
SGO-CA^    20^0.01698890534110000100^     347
TUL- C^    11^0.03176194365389999746^     338
TNK-CA^    10^0.03378950343829999897^     338
MVD- C^    12^0.02695589445740000090^     337
BGW- A^    25^0.01307032855990000048^     327
ELP- C^    12^0.02802475547910000114^     327
YCD- C^    14^0.02288832261830000062^     310
PVD- C^    10^0.03036340448139999981^     309
BYN-CA^    19^0.01612922807409999937^     299
ERM- A^    26^0.01138244003460000056^     297
ZLT-CA^    19^0.01504955505819999956^     284
BUA-CA^    21^0.01337887354580000014^     277
XGR- A^    21^0.01319964887879999937^     274
MOB- C^    19^0.01416779699940000012^     271
MTV-CA^    17^0.01584690406589999920^     271
UYN- A^    21^0.01255855955010000066^     268
SBA- C^    13^0.02013630826319999859^     263
SAV- C^    11^0.02329904998329999921^     252
LEX- C^    12^0.01988788986109999921^     247
ACR-CA^    25^0.00977309271479999929^     246
MAF- C^    13^0.01820637616779999940^     240
CPO-CA^    17^0.01357044241980000059^     237
FNA- C^    15^0.01556686779440000050^     236
XRF- R^    19^0.01210832463419999998^     235
COS- C^    11^0.02131810631580000059^     233
OAJ-CA^    21^0.01054559307490000007^     221
FWA- C^    18^0.01241434322479999935^     221
GDT-CA^    14^0.01554874660730000066^     221
VRN- C^    10^0.02302436071830000000^     220
CAE- C^    10^0.02097127857169999929^     218
TZA- A^    11^0.01911896652410000064^     216
YQM- C^    10^0.02265393625160000077^     216
YMT- A^    20^0.01054709565099999982^     211
ZTB-CA^    19^0.01108563852850000080^     211
ICT- C^    10^0.02177165697750000142^     210
BER- A^    19^0.01075418178159999981^     209
CDV- C^    16^0.01257077413620000077^     206
PNP- A^    13^0.01593423214730000162^     202
AVP- C^    17^0.01193905555980000026^     200
JAN- C^    10^0.01905177659349999858^     197
YTL-CA^    10^0.01933629081299999969^     196
JJN-CA^    11^0.01689060709539999885^     190
EAS- C^    16^0.01200445794659999940^     189
RAP- C^    14^0.01301589389119999982^     188
PND- A^    14^0.01323845638929999936^     184
YRG- A^    17^0.01069081429949999933^     181
TOF- A^    20^0.00892254144860000001^     177
INV- C^    13^0.01392773671570000059^     177
ASP- C^    12^0.01443322601170000073^     177
ZFQ- R^    13^0.01360479033169999935^     173
YFO- A^    11^0.01548527813900000064^     171
DLZ-CA^    22^0.00786802082780000030^     170
SHV- C^    11^0.01496567361520000083^     168
SDZ- C^    16^0.01033287761310000032^     163
AMA- C^    11^0.01385315082969999952^     158
BAV- A^    12^0.01257463800619999968^     154
UIH-CA^    27^0.00575215081270000032^     153
CRP- C^    11^0.01373266263340000050^     149
FUT-CA^    12^0.01241375464390000009^     144
TMP- C^    14^0.01038499221830000048^     141
LBB- C^    10^0.01382449636550000041^     138
AGS- C^    11^0.01209081565580000066^     136
CHA- C^    10^0.01389308188979999914^     135
KNW- A^    10^0.01337824155590000043^     131
BLZ- C^    12^0.01037929950269999950^     128
YAX- A^    11^0.01174393355709999962^     128
IRA- A^    12^0.01032198772360000058^     125
MGM- C^    11^0.01079055764319999944^     124
GGT-CA^    12^0.01061715599510000031^     123
GFN- A^    10^0.01023133752129999977^     106
VIJ-CA^    10^0.01053754788030000084^     102
KUA- C^    13^0.00696359828159999993^      94
SJT- C^    13^0.00644771273829999967^      84
BVE- A^    12^0.00683895383130000024^      84
CBS- A^    19^0.00401974839759999987^      78
AUY-CA^    12^0.00663958619270000033^      77
GEL-CA^    10^0.00764063288800000042^      76
CSH-CA^    12^0.00413613057280000015^      49
VIN-CA^    10^0.00402801377809999979^      40
LHB-CA^  6231^0.00000000000000000000^       0
MWR-CA^  5643^0.00000000000000000000^       0
DRU-CA^  5478^0.00000000000000000000^       0
TTW-CA^  5051^0.00000000000000000000^       0
CLI-CA^  4665^0.00000000000000000000^       0
XWM-CR^  4630^0.00000000000000000000^       0
YPS- A^  4610^0.00000000000000000000^       0
INR- A^  4542^0.00000000000000000000^       0
XXN-CR^  4525^0.00000000000000000000^       0
CEA- A^  4358^0.00000000000000000000^       0
AYE-CH^  4211^0.00000000000000000000^       0
XIG-CA^  3737^0.00000000000000000000^       0
SOH-CA^  3714^0.00000000000000000000^       0
HRN-CH^  3674^0.00000000000000000000^       0
LTG-CA^  3572^0.00000000000000000000^       0
SQC- A^  3565^0.00000000000000000000^       0
WAX-CA^  3456^0.00000000000000000000^       0
XEJ-CR^  3411^0.00000000000000000000^       0
SFZ-CA^  3346^0.00000000000000000000^       0
TXF-CA^  3277^0.00000000000000000000^       0
LMG-CA^  3186^0.00000000000000000000^       0
YSN- A^  3161^0.00000000000000000000^       0
RFS-CA^  3070^0.00000000000000000000^       0
CYA- A^  2857^0.00000000000000000000^       0
UAB- A^  2807^0.00000000000000000000^       0
KDF- O^  2782^0.00000000000000000000^       0
PNV-CA^  2725^0.00000000000000000000^       0
DXD-CA^  2564^0.00000000000000000000^       0
