CODE,OLD_CODE,NEW_CODE,NAME,TICKETING_NAME,NUM_CODE
FLY,SH,FLY,FLY ME,FLY ME,715
FNA,NY,FNA,AIR ICELAND,AIR ICELAND,882
FPO,5O,FPO,EUROPE AIRPOST,,0
FRE,FP,FRE,FREEDOM AIR,,224
FTA,2F,FTA,FRONTIER FLYING SE,FRONTIER,517
FUA,FH,FUA,FUTURA INTERNATION,FUTURA INTL,0
FWQ,QQ,FWQ,ALLIANCE AIRLINES,ALLIANCE AIR,323
FXA,FX,FXA,FEDEX,EXPRESS AIR,0
GAO,DC,GAO,GOLDEN AIR,GOLDEN AIR,0
GAP,2P,GAP,AIR PHILIPPINES,AIR PHILIPPIN,211
GEO,DA,GEO,AIR GEORGIA,AIR GEORGIA,500
GFA,GF,GFA,GULF AIR,GULF AIR,72
GFG,QB,GFG,GEORGIAN NATIONAL,GEORGIAN AIR,399
GHA,GH,GHA,GHANA AIRWAYS,GHANA AIR,237
GIA,GA,GIA,GARUDA INDONESIA,GARUDA,126
GLA,ZK,GLA,GREAT LAKES AVIATI,GREAT LAKES,846
GLO,G3,GLO,GOL TRANSPORTES AE,GOL,127
GLR,9M,GLR,CENTRAL MOUNTAIN A,CNTRL MTN AIR,634
GMI,ST,GMI,GERMANIA,GERMANIA,0
GNC,LQ,GNC,AIR GUINEA,AIR GUINEA,228
GNR,GC,GNR,GAMBIA INTL AIRLIN,GAMBIA INTL,34
GOE,GO,GOE,GO,,0
GRL,GL,GRL,AIR GREENLAND,AIR GREENLAND,631
GSM,Y2,GSM,FLYGLOBESPAN,,60
GTV,KG,GTV,AEROGAVIOTA,KING ISLAND,854
GUG,GU,GUG,AVIATECA,AVIATECA,240
GWY,U5,GWY,USA 3000,USA 3000,336
HAL,HA,HAL,HAWAIIAN AIRLINES,HAWAIIAN AIR,173
HAS,S9,HAS,SKY AIR WORLD PTY,EAST AFRICAN,0
HCY,ZU,HCY,HELIOS AIRWAYS,HELIOS AIR,32
HDA,KA,HDA,DRAGONAIR,HK DRAGON,43
HEJ,HJ,HEJ,HELLAS JET,HELLENIC STAR,681
HER,UD,HER,HEX AIR,HEX AIR,848
HHN,HR,HHN,HAHN AIR,HAHN AIR,169
HIL,HS,HIL,SVENSKA DIREKTFLYG,DIREKTFLYG,0
HMY,HQ,HMY,HARMONY AIRWAYS,HARMONY AIR,668
HVN,VN,HVN,VIETNAM AIRLINES,VIETNAM AIR,738
HWY,8H,HWY,HIGHLAND AIRWAYS,HELIFRANCE,0
I6,I6,SEQ,SKYEYES AIRWAYS,,428
IAC,IC,IAC,INDIAN AIRLINES,INDIAN AIR,58
IAR,V8,IAR,ILIAMNA AIR,CONTACT AIR,0
IAW,IA,IAW,IRAQI AIRWAYS,IRAQI AIR,73
IBB,NT,IBB,BINTER CANARIAS,BINTER CAN,474
IBE,IB,IBE,IBERIA,IBERIA,75
ICE,FI,ICE,ICELANDAIR,ICELANDAIR,108
IKA,GI,IKA,ITEK AIR,ITEK AIR,420
INL,D6,INL,INTER AIR,INTER AIR,625
IOS,5Y,IOS,EXPRESS RAIL LINK,EXPRESS RAIL,0
IRA,IR,IRA,IRAN AIR,IRAN AIR,96
IRC,EP,IRC,IRAN ASEMAN AIRLIN,,815
IRM,W5,IRM,MAHAN AIRLINES,MAHAN AIR,537
ISR,6H,ISR,ISRAIR AIRLINES,ISRAIR AIRLIN,818
ISS,IG,ISS,MERIDIANA,MERIDIANA,191
ISV,WC,ISV,ISLENA AIRLINES,ISLENA AIR,506
ITX,IK,ITX,IMAIR AIRLINE,IMAIR AIR,166
IYE,IY,IYE,YEMENIA YEMEN AIRW,YEMENIA,635
JAA,EG,JAA,JAPAN ASIA AIRWAYS,JAPAN ASIA,688
JAC,3X,JAC,JAPAN AIR COMMUTER,J.AIR COMMU,0
JAI,9W,JAI,JET AIRWAYS,JET AIRWAYS,589
JAL,JL,JAL,JAPAN AIRLINES,J A L,131
JAT,JU,JAT,JAT AIRWAYS,J A T,115
JAZ,JO,JAZ,JALWAYS,JALWAYS,708
JBA,JB,JBA,HELIJET INTERNATIO,HELIJET,613
JBU,B6,JBU,JETBLUE,,279
JKK,JK,JKK,SPANAIR,SPANAIR,680
JST,JQ,JST,JETSTAR,JETSTAR,41
JTA,NU,JTA,JAPAN TRANSOCEAN A,JAPAN TRANSOC,353
JXX,GX,JXX,JETX LIMITED,,591
JZZ,QK,JZZ,AIR CANADA JAZZ,AIR NOVA,983
KAC,KU,KAC,KUWAIT AIRWAYS,KUWAIT AIR,229
KAJ,5R,KAJ,KARTHAGO AIRLINES,KARTHAGO AIR,915
KAL,KE,KAL,KOREAN AIR,KOREAN AIR,180
KAP,9K,KAP,CAPE AIR,CAPE AIR,306
KBA,4K,KBA,KENN BOREK AIR,KENN BOREK,0
KDC,XC,KDC,K D AIR,K D AIR,0
KGA,R8,KGA,KYRGYZSTAN AIRLINE,KYRGYZSTAN,758
KGL,7K,KGL,KOGALYMAVIA AIRLIN,KOGALYMAVIA,313
KHB,H8,KHB,DALAVIA,DALAVIA,560
KIL,GW,KIL,AIR LINES OF KUBAN,AIR OF KUBAN,113
KJC,7B,KJC,KRAS AIR,KRASNOYARSK,499
KLA,TT,KLA,AIR LITHUANIA,AIR LITHUANIA,843
KLC,WA,KLC,KLM CITYHOPPER,KLM CITYHOPP,0
KLM,KL,KLM,KLM ROYAL DUTCH AI,KLM,74
KMR,RQ,KMR,KAM AIR,AIR ENGIADINA,384
KNI,KD,KNI,KD AVIA,KD AVIA,93
KOR,JS,KOR,AIR KORYO,KOR.AIR DPR,120
3Y,3Y,KAE,KARTIKA AIRLINES,KARTIKA AIR,0
8C,8C,DXH,EAST STAR AIRLINES,,883
ANX,4X,ANX,ATLANTIC EXPRESS A,,0
GX,GX,JXX,JETX LIMITED,,591
KR,KR,,COMORES AVIATION,,0
OD,OD,SAL,ASIA ALPHA AIRWAYS,,0
SH,SH,FLY,FLY ME,FLY ME,715
VD,VD,BBB,SWEDJET AIRWAYS,,0
2A,2A,DBB,DEUTSCHE BAHN AG,DEUTSCHE BAHN,0
2B,2B,,ATA AEROCONDOR TRA,ATA AEROCONDO,88
2C,2C,,SNCF,,0
2D,2D,AOG,AERO VIP,AEROVIP,561
2E,2E,EIX,SMOKEY BAY AIR,EI AIR EXPORT,0
2F,2F,FTA,FRONTIER FLYING SE,FRONTIER,517
2G,2G,,NORTHWEST SEAPLANE,,0
2H,2H,,THALYS INTERNATION,,0
2J,2J,VBW,AIR BURKINA,AIR BURKINA,226
2K,2K,GLG,AEROLINEAS GALAPAG,AEROGAL,547
2M,2M,MDV,MOLDAVIAN AIRLINES,MOLDAVIAN AIR,860
2N,2N,NTJ,NEXTJET,NEXTJET,0
2P,2P,GAP,AIR PHILIPPINES,AIR PHILIPPIN,211
2Q,2Q,ETS,STOCKHOLMSPLANET,STOCKHOLMSPLT,0
2R,2R,VRR,VIA RAIL CANADA IN,VIA RAIL,830
2S,2S,,STAR EQUATORIAL AI,ISLAND EXP,315
2T,2T,ANH,ALAJNIHAH AIR TRAN,,311
2V,2V,,AMTRAK,AMTRAK,554
2W,2W,WLC,WELCOME AIR,WELCOME AIR,227
2Y,2Y,,AIR ANDAMAN,AIR ANDAMAN,0
2Z,2Z,,JSC VORONEZH AIRCR,,423
3A,3A,ALZ,KENOSHA AERO INC,MAFIRA AIR,0
3B,3B,JBR,JOB AIR,JOB AIR,0
3C,3C,,REGIONSAIR,CORPORATE EXP,310
3D,3D,DNM,DENIM AIR,DENIM AIR,490
3E,3E,,EAST ASIA AIRLINES,AIR BRETAGNE,0
3F,3F,,PACIFIC AIRWAYS,,0
3G,3G,AYZ,ATLANT-SOYUZ AIRLI,,411
3J,3J,WZP,ZIP AIR,ZIP AIR,0
3K,3K,JSA,JETSTAR ASIA,JETSTAR ASIA,375
3L,3L,,INTERSKY LUFTFAHRT, INTERSKY,576
3M,3M,,GULFSTREAM INTERNA,GULFSTREAM,449
3N,3N,URG,AIR URGA,AIRVANTAGE,746
3Q,3Q,CYH,CHINA YUNNAN AIRLI,YUNNAN AIR,592
3R,3R,GAI,GROMOV AIRLINE,GROMOVAIRLINE,520
3S,3S,,AIR ANTILLES EXPRE,AIR ANTILLES,875
3T,3T,URN,TURAN AIR,TURAN AIR,359
3U,3U,,SICHUAN AIRLINES,,876
3V,3V,TAY,TNT AIRWAYS,VIKING AIR,756
3W,3W,,EUROMANX,EUROMANX,482
3X,3X,JAC,JAPAN AIR COMMUTER,J.AIR COMMU,0
3Z,3Z,,EVERTS AIR,,29
4A,4A,,AIR KIRIBATI,,0
4B,4B,PAG,PERIMETER AVIATION,OLSON AIR,234
4C,4C,ARE,AIRES,AIRES,35
4D,4D,ASD,AIR SINAI,AIR SINAI,903
4E,4E,TNR,TANANA AIR SERVICE,TANANA AIR,0
4F,4F,ECE,AIR CITY,AIR-CITY,0
4G,4G,GZP,GAZPROMAVIA,,579
4H,4H,,UNITED AIRWAYS BAN,TRANS PACIFIC,0
4J,4J,,NATIONWIDE AIRLINE,,0
4K,4K,KBA,KENN BOREK AIR,KENN BOREK,0
4M,4M,,LANARGENTINA,LANARGENTINA,469
4N,4N,,AIR NORTH,AIR NORTH,287
4O,4O,AIJ,ABC AEROLINEAS,,0
4Q,4Q,,SAFI AIRWAYS,AEROLYON,0
4R,4R,HHI,HAMBURG INTERNATIO,HAMBURG INTER,0
MP,MP,MPH,MARTINAIR,MARTINAIR,129
