code,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,city_name
dgo,durango/mx:guadalupe victoria,dgo,y,,mx,namer,durango
dgp,daugavpils/lv,dgp,y,,lv,eeuro,daugavpils
dgr,dargaville/nz,dgr,y,,nz,austl,dargaville
dgt,dumaguete/ph,dgt,y,,ph,pacif,dumaguete
dgu,dedougou/bf,dgu,y,,bf,afric,dedougou
dgw,douglas/wy/us:converse county,dgw,y,wy,us,namer,douglas
dha,dhahran/sa,dha,y,,sa,meast,dhahran
dhd,durham downs/ql/au,dhd,y,ql,au,austl,durham downs
dhf,abu dhabi/ae:al dhafra milit,auh,y,,ae,meast,abu dhabi
dhi,dhangarhi/np,dhi,y,,np,asia,dhangarhi
dhl,dhala/ye,dhl,y,,ye,meast,dhala
dhm,dharamsala/in:gaggal airport,dhm,y,,in,asia,dharamsala
dhn,dothan/al/us:regional apt,dhn,y,al,us,namer,dothan
dhr,den helder/nl:de kooy,dhr,y,,nl,europ,den helder
dht,dalhart/tx/us,dht,y,tx,us,namer,dalhart
dib,dibrugarh/in:chabua,dib,y,,in,asia,dibrugarh
dic,dili/cd,dic,y,,cd,afric,dili
die,antsiranana/mg:antsiranana,die,y,,mg,afric,antsiranana
dig,diqing/cn:diqing,dig,y,,cn,asia,diqing
dij,dijon/fr,dij,y,,fr,europ,dijon
dik,dickinson/nd/us,dik,y,nd,us,namer,dickinson
dil,dili/tl:comoro,dil,y,,tl,asia,dili
dim,dimbokro/ci,dim,y,,ci,afric,dimbokro
din,dien bien/vn:dien bien airport,din,y,,vn,seasi,dien bien phu
dio,diomede island/ak/us,dio,y,ak,us,namer,diomede island
dip,diapaga/bf,dip,y,,bf,afric,diapaga
diq,divinopolis/mg/br,diq,y,mg,br,samer,divinopolis
dir,dire dawa/et:aba tenna d yilma,dir,y,,et,afric,dire dawa
dis,loubomo/cg,dis,y,,cg,afric,loubomo
diu,diu/in,diu,y,,in,asia,diu
div,divo/ci,div,y,,ci,afric,divo
diw,dickwella/lk:mawella lagoon,diw,y,,lk,asia,dickwella
diy,diyarbakir/tr,diy,y,,tr,euras,diyarbakir
dja,djougou/bj,dja,y,,bj,afric,djougou
djb,jambi/id:sultan taha syarifudn,djb,y,,id,seasi,jambi
dje,djerba/tn:melita,dje,y,,tn,afric,djerba
djg,djanet/dz:inedbirenne,djg,y,,dz,afric,djanet
djj,jayapura/id:sentani,djj,y,,id,seasi,jayapura
djm,djambala/cg,djm,y,,cg,afric,djambala
djn,delta junction/ak/us,djn,y,ak,us,namer,delta junction
djo,daloa/ci,djo,y,,ci,afric,daloa
dju,djupivogur/is,dju,y,,is,europ,djupivogur
dki,dunk island/ql/au,dki,y,ql,au,austl,dunk island
dkk,dunkirk/ny/us,dkk,y,ny,us,namer,dunkirk
dkr,dakar/sn:yoff,dkr,y,,sn,afric,dakar
dks,dikson/ru,dks,y,,ru,euras,dikson
dkv,docker river/nt/au,dkv,y,nt,au,austl,docker river
dla,douala/cm,dla,y,,cm,afric,douala
dlb,dalbertis/pg,dlb,y,,pg,austl,dalbertis
dlc,dalian/cn,dlc,y,,cn,asia,dalian
dld,geilo/no:dagali airport,dld,y,,no,europ,geilo
dle,dole/fr:tavaux,dle,y,,fr,europ,dole
dlf,del rio/tx/us:laughlin afb,drt,y,tx,us,namer,del rio
dlg,dillingham/ak/us:municipal,dlg,y,ak,us,namer,dillingham
dlh,duluth/mn/us:duluth intl,dlh,y,mn,us,namer,duluth
dli,dalat/vn:lienkhang,dli,y,,vn,seasi,dalat
dlk,dulkaninna/sa/au,dlk,y,sa,au,austl,dulkaninna
dll,dillon/sc/us,dll,y,sc,us,namer,dillon
dlm,dalaman/tr,dlm,y,,tr,euras,dalaman
dln,dillon/mt/us,dln,y,mt,us,namer,dillon
dlo,dolomi/ak/us,dlo,y,ak,us,namer,dolomi
dls,the dalles/or/us,dls,y,or,us,namer,the dalles
dlu,dali/cn:dali,dlu,y,,cn,asia,dali
dlv,delissaville/nt/au,dlv,y,nt,au,austl,delissaville
dly,dillons bay/vu,dly,y,,vu,austl,dillons bay
dlz,dalanzadgad/mn,dlz,y,,mn,asia,dalanzadgad
dma,tucson/az/us:davis monthan afb,tus,y,az,us,namer,tucson
dmb,zhambyl/kz,dmb,y,,kz,euras,zhambyl
dmd,doomadgee/ql/au,dmd,y,ql,au,austl,doomadgee
dme,moscow/ru:domodedovo,mow,y,,ru,euras,moscow
dmm,dammam/sa:king fahad intl,dmm,y,,sa,meast,dammam
dmn,deming/nm/us,dmn,y,nm,us,namer,deming
dmo,sedalia/mo/us,dmo,y,mo,us,namer,sedalia
dmr,dhamar/ye,dmr,y,,ye,meast,dhamar
dmt,diamantino/mt/br,dmt,y,mt,br,samer,diamantino
dmu,dimapur/in,dmu,y,,in,asia,dimapur
dna,okinawa/jp:kadena afb,oka,y,,jp,asia,okinawa
dnb,dunbar/ql/au,dnb,y,ql,au,austl,dunbar
dnc,danane/ci,dnc,y,,ci,afric,danane
dnd,dundee/gb,dnd,y,,gb,europ,dundee
dne,dallas/tx/us:dallas north,dfw,y,tx,us,namer,dallas
dnf,derna/ly:martuba,dnf,y,,ly,afric,derna
dng,doogan/wa/au:doogan airport,dng,y,wa,au,austl,doogan
dnh,dunhuang/cn,dnh,y,,cn,asia,dunhuang
dni,wad medani/sd,dni,y,,sd,afric,wad medani
dnk,dnepropetrovsk/ua,dnk,y,,ua,euras,dnepropetrovsk
dnl,augusta daniel/ga/us:daniel,ags,y,ga,us,namer,augusta daniel
dnm,denham/wa/au,dnm,y,wa,au,austl,denham
dnn,dalton/ga/us:municipal,dnn,y,ga,us,namer,dalton
dno,dianopolis/to/br,dno,y,to,br,samer,dianopolis
dnp,dang/np,dnp,y,,np,asia,dang
dnq,deniliquin/ns/au,dnq,y,ns,au,austl,deniliquin
dnr,dinard/fr:pleurtuit,dnr,y,,fr,europ,dinard
dns,denison/ia/us:municipal,dns,y,ia,us,namer,denison
dnt,santa ana/ca/us:downtown hpt,sna,y,ca,us,namer,santa ana
dnu,dinangat/pg,dnu,y,,pg,austl,dinangat
dnv,danville/il/us:vermilion cnty,dnv,y,il,us,namer,danville
dnx,dinder/sd:galegu,dnx,y,,sd,afric,dinder
dnz,denizli/tr:cardak,dnz,y,,tr,euras,denizli
doa,doany/mg,doa,y,,mg,afric,doany
dob,dobo/id:airport,dob,y,,id,seasi,dobo
doc,dornoch/gb,doc,y,,gb,europ,dornoch
dod,dodoma/tz,dod,y,,tz,afric,dodoma
doe,djoemoe/sr,doe,y,,sr,samer,djoemoe
dof,dora bay/ak/us,dof,y,ak,us,namer,dora bay
dog,dongola/sd,dog,y,,sd,afric,dongola
doh,doha/qa,doh,y,,qa,meast,doha
doi,doini/pg,doi,y,,pg,austl,doini
dok,donetsk/ua,dok,y,,ua,euras,donetsk
dol,deauville/fr:st gatien,dol,y,,fr,europ,deauville
dom,dominica/dm:melville hall,dom,y,,dm,carib,dominica
don,dos lagunas/gt,don,y,,gt,camer,dos lagunas
doo,dorobisoro/pg,doo,y,,pg,austl,dorobisoro
dop,dolpa/np,dop,y,,np,asia,dolpa
dor,dori/bf,dor,y,,bf,afric,dori
dos,dios/pg,dos,y,,pg,austl,dios
dou,dourados/ms/br,dou,y,ms,br,samer,dourados
dov,dover cheswold/de/us:dover afb,dov,y,de,us,namer,dover cheswold
dox,dongara/wa/au,dox,y,wa,au,austl,dongara
doy,dongying/cn:dongying,doy,y,,cn,asia,dongying
dpa,chicago/il/us:dupage county,chi,y,il,us,namer,chicago
dpe,dieppe/fr,dpe,y,,fr,europ,dieppe
dpg,dugway/ut/us:michael aaf,dpg,y,ut,us,namer,dugway
dpk,deer park/ny/us,dpk,y,ny,us,namer,deer park
dpl,dipolog/ph,dpl,y,,ph,pacif,dipolog
dpo,devonport/ts/au,dpo,y,ts,au,austl,devonport
dps,denpasar bali/id:ngurah rai,dps,y,,id,seasi,denpasar bali
dpu,dumpu/pg,dpu,y,,pg,austl,dumpu
dra,mercury/nv/us:desert rock,dra,y,nv,us,namer,mercury
drb,derby/wa/au,drb,y,wa,au,austl,derby
drc,dirico/ao,drc,y,,ao,afric,dirico
drd,dorunda station/ql/au,drd,y,ql,au,austl,dorunda station
dre,drummond island/mi/us,dre,y,mi,us,namer,drummond island
drf,drift river/ak/us,drf,y,ak,us,namer,drift river
drg,deering/ak/us,drg,y,ak,us,namer,deering
drh,dabra/id,drh,y,,id,seasi,dabra
dri,de ridder/la/us:beauregard par,dri,y,la,us,namer,de ridder
drj,drietabbetje/sr,drj,y,,sr,samer,drietabbetje
drm,drama/gr,drm,y,,gr,europ,drama
drn,dirranbandi/ql/au,drn,y,ql,au,austl,dirranbandi
dro,durango/co/us:la plata,dro,y,co,us,namer,durango
drr,durrie/ql/au,drr,y,ql,au,austl,durrie
drs,dresden/de:dresden,drs,y,,de,europ,dresden
drt,del rio/tx/us:international,drt,y,tx,us,namer,del rio
dru,drummond/mt/us,dru,y,mt,us,namer,drummond
drw,darwin/nt/au,drw,y,nt,au,austl,darwin
dry,d/wa/au:drysdale river airport,dry,y,wa,au,austl,drysdale river
dsa,doncaster/gb:sheffield,dsa,y,,gb,europ,doncaster
dsc,dschang/cm,dsc,y,,cm,afric,dschang
dsd,la desirade/gp,dsd,y,,gp,carib,la desirade
dse,dessie/et:combolcha,dse,y,,et,afric,dessie
dsg,dilasag/ph,dsg,y,,ph,pacif,dilasag
dsi,destin/fl/us,dsi,y,fl,us,namer,destin
dsk,dera ismail khan/pk,dsk,y,,pk,asia,dera ismail khan
dsl,daru/sl,dsl,y,,sl,afric,daru
dsm,des moines/ia/us,dsm,y,ia,us,namer,des moines
dsn,dongsheng/cn,dsn,y,,cn,asia,dongsheng
dsv,dansville/ny/us,dsv,y,ny,us,namer,dansville
dta,delta/ut/us,dta,y,ut,us,namer,delta
dtd,datadawai/id,dtd,y,,id,seasi,datadawai
