AIRPORT_CODE,TERMINAL_CODE,TERMINAL_NAME
SMF,B,Terminal B
SMF,R,Commuter Terminal
SRQ,M,Main Terminal
SRQ,R,Commuter Terminal
STL,E,East Terminal
STL,M,Main Terminal
STR,1,Terminal 1
STR,2,Terminal 2
STR,4,Terminal 4
SVO,1,Sheremetyevo 1 (Domestic)
SVO,2,Sheremetyevo 2 (International)
SYD,3,Terminal 3 (Qantas Domestic)
HND,D1,Domestic Terminal 1
HND,D2,Domestic Terminal 2
THR,1,Terminal 1
THR,2,Terminal 2
THR,3,Terminal 3 Haj (Charter)
THR,4,Terminal 4
LAX,8,Terminal 8
ONT,I,International Terminal
WAW,D,Domestic Terminal
YVR,M,Main Terminal
YVR,S,South Terminal
YYZ,1,Terminal 1
YYZ,2,Terminal 2
YYZ,3,Terminal 3
STR,3,Terminal 3
MEL,1,Terminal 1
MEL,2,Terminal 2
MEL,3,Terminal 3
TLV,1,Terminal 1
TLV,2,Terminal 2
TLV,3,Terminal 3 (International)
MUC,1,Terminal 1
MUC,2,Terminal 2
DFW,D,Terminal D
PER,1,Terminal 1 (International)
PER,2,Terminal 2 (Qantas)
PER,3,Terminal 3 (Domestic)
ANC,N,North Terminal (International)
ANC,S,South Terminal (Domestic)
ARN,TX,Arlanda Express Train Station
GVA,H,Charter Terminal
IAH,E,Terminal E
JNB,A,Terminal A
JNB,B,Terminal B
CDG,2E,Aerogare 2 Terminal E
CDG,3,Aerogare 3
SYD,1,Terminal 1 (International)
SYD,2,Terminal 2 (Domestic)
TMP,1,Terminal 1
TMP,2,Terminal 2
TPE,1,Terminal 1
TPE,2,Terminal 2
ACK,CO,Continental Express
ACK,M,Main Terminal
ADL,R,General Aviation Terminal
ADL,UD,Lloyd Aviation Jet Charter
AGP,1,Terminal 1
AGP,2,Terminal 2
AKL,D,Domestic Terminal
AKL,I,International Terminal
AKL,ZQ,Qantas NZ
AMM,N,North Terminal
AMM,S,South Terminal
ARN,2,Terminal 2
ARN,3,Terminal 3
ARN,4,Terminal 4
ARN,5,Terminal 5
ARN,TN,SJ Train Station
ATL,N,Terminal North
ATL,S,Terminal South
AYT,D,Domestic Terminal
AYT,I,International Terminal
BCN,A,Terminal A
BCN,B,Terminal B
BCN,C,Terminal C
BHX,1,Terminal 1 (Main Terminal)
BHX,2,Terminal 2 (Eurohub)
BHX,TN,Train Station
BNE,D,Domestic Terminal
BNE,I,International Terminal
BOD,A,Hall A
BOD,B,Hall B
BOG,1,Terminal 1
BOG,2,Terminal 2
BOM,1,Terminal 1 (Santa Cruz)
BOM,2,Terminal 2 (Sahar)
BOS,A,Terminal A
BOS,B,Terminal B
BOS,C,Terminal C
BOS,D,Terminal D
BOS,E,Terminal E
BUD,1,Ferihegy 1
BUD,2A,Ferihegy 2A
BUD,2B,Ferihegy 2B
CAI,1,Terminal 1
CAI,2,Terminal 2
CDG,1,Aerogare 1
CDG,2A,Aerogare 2 Terminal A
CDG,2B,Aerogare 2 Terminal B
CDG,2C,Aerogare 2 Terminal C
CDG,2D,Aerogare 2 Terminal D
CDG,2F,Aerogare 2 Terminal F
CDG,TN,Train Station
CGK,1,Terminal One
CGK,2,Terminal Two
CGN,1,Terminal 1
CGN,2,Terminal 2
CHC,M,Main Terminal
CHC,ZQ,Qantas NZ
CNS,D,Domestic Terminal
CNS,I,International Terminal
CNS,R,General Aviation Terminal
CPH,1,Terminal 1
CPH,2,Terminal 2
CPH,3,Terminal 3
CVG,1,Terminal 1
CVG,2,Terminal 2
CVG,3,Terminal 3
DCA,A,Terminal A
DCA,B,Terminal B
DCA,C,Terminal C
DEL,1,Terminal 1
DEL,2,Terminal 2
DFW,A,Terminal A
DFW,B,Terminal B
DFW,C,Terminal C
DFW,E,Terminal E
DTW,EM,E.M. McNamara Terminal (Northwest)
DTW,I,International Terminal
DTW,LS,L.C. Smith Terminal
DXB,1,Terminal 1
DXB,2,Terminal 2
EWR,A,Terminal A
EWR,B,Terminal B
EWR,C,Terminal C
EWR,TN,Train Station
FCO,A,Terminal A
FCO,B,Terminal B
FCO,C,Terminal C
FLL,1,Terminal 1
FLL,2,Terminal 2
FLL,3,Terminal 3
FLL,4,Terminal 4
FLL,R,Commuter Terminal
FRA,1,Terminal 1
FRA,2,Terminal 2
FRA,TN,ICE Train Station
FUK,D1,Domestic Terminal 1
FUK,D2,Domestic Terminal 2
FUK,D3,Domestic Terminal 3
FUK,I,International Terminal
GIG,1,Terminal 1
GIG,2,Terminal 2
GLA,B,Terminal B
GLA,M,Main Terminal
GMP,1,Terminal 1
GMP,2,Terminal 2
GMP,D,Domestic Terminal
GRU,1,Terminal 1
GRU,2,Terminal 2
GVA,M,Main Terminal
GVA,TN,Train Station
HAM,1,Terminal 1 (All other carriers)
HAM,2,Terminal 2 (Mainly Star Alliance carriers and their partners)
HBA,D,Domestic Terminal
HBA,I,International Terminal
HEL,1,T1 (Domestic)
HEL,2,T2 (International)
HND,I,International Terminal
HNL,M,Main Terminal
HNL,R,Commuter Terminal
HNL,Z,Inter-Island Terminal
HRE,D,Domestic Terminal
HRE,I,International Terminal
IAH,A,Terminal A
IAH,B,Terminal B
IAH,C,Terminal C
IAH,D,Terminal D
