CODE,TICKETING_NAME,TELETICKETING_NAME,EXTENDED_NAME,REL_CITY_CODE,IS_AIRPORT,STATE_CODE,REL_COUNTRY_CODE,REL_REGION_CODE,REL_CONTINENT_CODE,REL_TIME_ZONE_GRP,LONGITUDE,LATITUDE,NUMERIC_CODE,IS_COMMERCIAL,CITY_NAME
DGO,DURANGO,DURANGO,DURANGO/MX:GUADALUPE VICTORIA,DGO,Y,,MX,NAMER,ITC1,MX168,-104.7,24,1206,Y,DURANGO
DGP,DAUGAVPILS,DAUGAVPILS,DAUGAVPILS/LV,DGP,Y,,LV,EEURO,ITC2,LV126,29.68,55.93,,N,DAUGAVPILS
DGR,DARGAVILLE,DARGAVILLE,DARGAVILLE/NZ,DGR,Y,,NZ,AUSTL,ITC3,NZ084,173.9,-35.93,,N,DARGAVILLE
DGT,DUMAGUETE,DUMAGUETE,DUMAGUETE/PH,DGT,Y,,PH,PACIF,ITC3,PH,123.3,9.3,1207,Y,DUMAGUETE
DGU,DEDOUGOU,DEDOUGOU,DEDOUGOU/BF,DGU,Y,,BF,AFRIC,ITC2,BF,-3.483,12.47,1208,N,DEDOUGOU
DGW,DOUGLAS,DOUGLAS,DOUGLAS/WY/US:CONVERSE COUNTY,DGW,Y,WY,US,NAMER,ITC1,US108,-105.4,42.75,1209,N,DOUGLAS
DHA,DHAHRAN,DHAHRAN,DHAHRAN/SA,DHA,Y,,SA,MEAST,ITC2,SA,50.17,26.27,,N,DHAHRAN
DHD,DURHAM DOWNS,DURHAM DOWNS,DURHAM DOWNS/QL/AU,DHD,Y,QL,AU,AUSTL,ITC3,AU131,141.9,-27.07,1211,N,DURHAM DOWNS
DHF,ABU DHABI AL DHAF,ABU DHABI AL DH,ABU DHABI/AE:AL DHAFRA MILIT,AUH,Y,,AE,MEAST,ITC2,AE,54.37,24.47,,N,ABU DHABI
DHI,DHANGARHI,DHANGARHI,DHANGARHI/NP,DHI,Y,,NP,ASIA,ITC3,NP,80.67,28.25,1212,N,DHANGARHI
DHL,DHALA,DHALA,DHALA/YE,DHL,Y,,YE,MEAST,ITC2,YE,44.72,13.73,1213,N,DHALA
DHM,DHARAMSALA,DHARAMSALA,DHARAMSALA/IN:GAGGAL AIRPORT,DHM,Y,,IN,ASIA,ITC3,IN,78.47,17.38,,Y,DHARAMSALA
DHN,DOTHAN,DOTHAN,DOTHAN/AL/US:REGIONAL APT,DHN,Y,AL,US,NAMER,ITC1,US107,-85.45,31.32,1214,Y,DOTHAN
DHR,DEN HELDER,DEN HELDER,DEN HELDER/NL:DE KOOY,DHR,Y,,NL,EUROP,ITC2,NL082,4.767,52.92,,N,DEN HELDER
DHT,DALHART,DALHART,DALHART/TX/US,DHT,Y,TX,US,NAMER,ITC1,US107,102.5,36.07,,N,DALHART
DIB,DIBRUGARH,DIBRUGARH,DIBRUGARH/IN:CHABUA,DIB,Y,,IN,ASIA,ITC3,IN,94.9,27.48,1215,Y,DIBRUGARH
DIC,DILI,DILI,DILI/CD,DIC,Y,,CD,AFRIC,ITC2,CD167,125.6,-8.55,,N,DILI
DIE,ANTSIRANANA,ANTSIRANANA,ANTSIRANANA/MG:ANTSIRANANA,DIE,Y,,MG,AFRIC,ITC2,MG,49.3,-12.35,,Y,ANTSIRANANA
DIG,DIQING,DIQING,DIQING/CN:DIQING,DIG,Y,,CN,ASIA,ITC3,CN035,99.68,27.79,,Y,DIQING
DIJ,DIJON,DIJON,DIJON/FR,DIJ,Y,,FR,EUROP,ITC2,FR052,5.083,47.27,1217,N,DIJON
DIK,DICKINSON,DICKINSON,DICKINSON/ND/US,DIK,Y,ND,US,NAMER,ITC1,US108,-102.8,46.8,1218,Y,DICKINSON
DIL,DILI,DILI,DILI/TL:COMORO,DIL,Y,,TL,ASIA,ITC3,TL,125.4,-8.333,1219,Y,DILI
DIM,DIMBOKRO,DIMBOKRO,DIMBOKRO/CI,DIM,Y,,CI,AFRIC,ITC2,CI,-4.7,6.65,,N,DIMBOKRO
DIN,DIEN BIEN PHU,DIEN BIEN PHU,DIEN BIEN/VN:DIEN BIEN AIRPORT,DIN,Y,,VN,SEASI,ITC3,VN,103,21.38,,Y,DIEN BIEN PHU
DIO,DIOMEDE ISLAND,DIOMEDE ISLAND,DIOMEDE ISLAND/AK/US,DIO,Y,AK,US,NAMER,ITC1,US111,-169,65.75,1220,N,DIOMEDE ISLAND
DIP,DIAPAGA,DIAPAGA,DIAPAGA/BF,DIP,Y,,BF,AFRIC,ITC2,BF,1.783,12.05,1221,N,DIAPAGA
DIQ,DIVINOPOLIS,DIVINOPOLIS,DIVINOPOLIS/MG/BR,DIQ,Y,MG,BR,SAMER,ITC1,BR015,-52.17,-10.88,,N,DIVINOPOLIS
DIR,DIRE DAWA,DIRE DAWA,DIRE DAWA/ET:ABA TENNA D YILMA,DIR,Y,,ET,AFRIC,ITC2,ET,41.87,9.633,1222,Y,DIRE DAWA
DIS,LOUBOMO,LOUBOMO,LOUBOMO/CG,DIS,Y,,CG,AFRIC,ITC2,CG,12.5,-4.217,1223,N,LOUBOMO
DIU,DIU,DIU,DIU/IN,DIU,Y,,IN,ASIA,ITC3,IN,70.92,20.72,,Y,DIU
DIV,DIVO,DIVO,DIVO/CI,DIV,Y,,CI,AFRIC,ITC2,CI,-5.367,5.833,,N,DIVO
DIW,DICKWELLA MAWELLA,DICKWELLA MAWEL,DICKWELLA/LK:MAWELLA LAGOON,DIW,Y,,LK,ASIA,ITC3,LK187,80.73,5.991,,N,DICKWELLA
DIY,DIYARBAKIR,DIYARBAKIR,DIYARBAKIR/TR,DIY,Y,,TR,EURAS,ITC2,TR101,40.2,37.9,,Y,DIYARBAKIR
DJA,DJOUGOU,DJOUGOU,DJOUGOU/BJ,DJA,Y,,BJ,AFRIC,ITC2,BJ,1.667,9.7,,N,DJOUGOU
DJB,JAMBI,JAMBI,JAMBI/ID:SULTAN TAHA SYARIFUDN,DJB,Y,,ID,SEASI,ITC3,ID061,103.6,-1.633,1225,Y,JAMBI
DJE,DJERBA,DJERBA,DJERBA/TN:MELITA,DJE,Y,,TN,AFRIC,ITC2,TN100,10.78,33.88,1226,Y,DJERBA
DJG,DJANET,DJANET,DJANET/DZ:INEDBIRENNE,DJG,Y,,DZ,AFRIC,ITC2,DZ,9.5,24.45,1227,Y,DJANET
DJJ,JAYAPURA,JAYAPURA,JAYAPURA/ID:SENTANI,DJJ,Y,,ID,SEASI,ITC3,ID063,140.5,-2.583,1228,Y,JAYAPURA
DJM,DJAMBALA,DJAMBALA,DJAMBALA/CG,DJM,Y,,CG,AFRIC,ITC2,CG,14.75,-2.533,1229,N,DJAMBALA
DJN,DELTA JUNCTION,DELTA JUNCTION,DELTA JUNCTION/AK/US,DJN,Y,AK,US,NAMER,ITC1,US111,-145.7,64.03,,N,DELTA JUNCTION
DJO,DALOA,DALOA,DALOA/CI,DJO,Y,,CI,AFRIC,ITC2,CI,-6.467,6.417,1230,N,DALOA
DJU,DJUPIVOGUR,DJUPIVOGUR,DJUPIVOGUR/IS,DJU,Y,,IS,EUROP,ITC2,IS,-14.17,64.67,1231,N,DJUPIVOGUR
DKI,DUNK ISLAND,DUNK ISLAND,DUNK ISLAND/QL/AU,DKI,Y,QL,AU,AUSTL,ITC3,AU131,146.2,-17.93,1232,N,DUNK ISLAND
DKK,DUNKIRK,DUNKIRK,DUNKIRK/NY/US,DKK,Y,NY,US,NAMER,ITC1,US105,-79.33,42.48,,N,DUNKIRK
DKR,DAKAR,DAKAR,DAKAR/SN:YOFF,DKR,Y,,SN,AFRIC,ITC2,SN,-17.5,14.75,1233,Y,DAKAR
DKS,DIKSON,DIKSON,DIKSON/RU,DKS,Y,,RU,EURAS,ITC2,RU143,80.37,73.52,,N,DIKSON
DKV,DOCKER RIVER,DOCKER RIVER,DOCKER RIVER/NT/AU,DKV,Y,NT,AU,AUSTL,ITC3,AU010,129.1,-24.87,,N,DOCKER RIVER
DLA,DOUALA,DOUALA,DOUALA/CM,DLA,Y,,CM,AFRIC,ITC2,CM,9.717,4.017,1234,Y,DOUALA
DLB,DALBERTIS,DALBERTIS,DALBERTIS/PG,DLB,Y,,PG,AUSTL,ITC3,PG,118.8,-8.45,,N,DALBERTIS
DLC,DALIAN,DALIAN,DALIAN/CN,DLC,Y,,CN,ASIA,ITC3,CN035,121.6,38.97,1235,Y,DALIAN
DLD,GEILO,GEILO,GEILO/NO:DAGALI AIRPORT,DLD,Y,,NO,EUROP,ITC2,NO083,8.5,60.47,,N,GEILO
DLE,DOLE,DOLE,DOLE/FR:TAVAUX,DLE,Y,,FR,EUROP,ITC2,FR052,5.117,47.03,1236,N,DOLE
DLF,DEL RIO AFB,DEL RIO AFB,DEL RIO/TX/US:LAUGHLIN AFB,DRT,Y,TX,US,NAMER,ITC1,US107,-100.9,29.37,,N,DEL RIO
DLG,DILLINGHAM,DILLINGHAM,DILLINGHAM/AK/US:MUNICIPAL,DLG,Y,AK,US,NAMER,ITC1,US111,-158.5,59.07,1237,Y,DILLINGHAM
DLH,DULUTH INT,DULUTH INT,DULUTH/MN/US:DULUTH INTL,DLH,Y,MN,US,NAMER,ITC1,US107,-92.18,46.83,,Y,DULUTH
DLI,DALAT,DALAT,DALAT/VN:LIENKHANG,DLI,Y,,VN,SEASI,ITC3,VN,108.4,11.75,1239,Y,DALAT
DLK,DULKANINNA,DULKANINNA,DULKANINNA/SA/AU,DLK,Y,SA,AU,AUSTL,ITC3,AU009,139.5,-29.02,,N,DULKANINNA
DLL,DILLON,DILLON,DILLON/SC/US,DLL,Y,SC,US,NAMER,ITC1,US105,-79.37,34.42,1240,N,DILLON
