TZ_GROUP,REL_COUNTRY_CODE,YEAR,DIFFER_GMT,DIFFER_SIGN,DAYLIGHT_SAVINGS,ED,DD,ED_STATUS,DD_STATUS,HEMISPHERE
,GW,2008,0,P,0,,,V,V,N
,HK,2007,32,P,0,,,V,V,N
,HK,2008,32,P,0,,,V,V,N
,HN,2007,24,N,0,,,V,V,N
,HN,2008,24,N,0,,,V,V,N
152,HR,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
152,HR,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
059,HT,2007,20,N,0,01/04/2007 05:00:00,28/10/2007 04:00:00,V,V,N
059,HT,2008,20,N,0,06/04/2008 05:00:00,26/10/2008 04:00:00,V,V,N
060,HU,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
060,HU,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
061,ID,2007,28,P,0,,,V,V,S
061,ID,2008,28,P,0,,,V,V,S
062,ID,2007,32,P,0,,,V,V,S
062,ID,2008,32,P,0,,,V,V,S
063,ID,2007,36,P,0,,,V,V,S
063,ID,2008,36,P,0,,,V,V,S
064,IE,2008,0,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
065,IL,2007,8,P,4,25/03/2007,15/09/2007 23:00:00,V,V,N
065,IL,2008,8,P,4,30/03/2008 01:00:00,04/10/2008 23:00:00,V,V,N
,IN,2007,22,P,0,,,V,V,N
,IN,2008,22,P,0,,,V,V,N
066,IQ,2007,12,P,4,01/04/2007,01/10/2007,V,V,N
066,IQ,2008,12,P,4,01/04/2008,01/10/2008,V,V,N
120,IR,2007,14,P,0,,,V,V,N
120,IR,2008,14,P,0,,,V,V,N
,IS,2007,0,P,0,,,V,V,N
,IS,2008,0,P,0,,,V,V,N
067,IT,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
067,IT,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
,JM,2007,20,N,0,,,V,V,N
,JM,2008,20,N,0,,,V,V,N
068,JO,2007,8,P,4,29/03/2007 22:00:00,25/10/2007 21:00:00,V,V,N
,JP,2007,36,P,0,,,V,V,N
,JP,2008,36,P,0,,,V,V,N
,KE,2007,12,P,0,,,V,V,N
,KE,2008,12,P,0,,,V,V,N
134,KG,2007,24,P,0,,,V,V,N
134,KG,2008,24,P,0,,,V,V,N
,KH,2007,28,P,0,,,V,V,N
,KH,2008,28,P,0,,,V,V,N
069,KI,2007,48,P,0,,,V,V,S
069,KI,2008,48,P,0,,,V,V,S
070,KI,2007,56,P,0,,,V,V,S
070,KI,2008,56,P,0,,,V,V,S
071,KI,2007,52,P,0,,,V,V,S
071,KI,2008,52,P,0,,,V,V,S
,KM,2007,12,P,0,,,V,V,S
,KM,2008,12,P,0,,,V,V,S
,KN,2007,16,N,0,,,V,V,N
,KP,2008,36,P,0,,,V,V,N
,KR,2007,36,P,0,,,V,V,N
,KR,2008,36,P,0,,,V,V,N
,KW,2007,12,P,0,,,V,V,N
,KW,2008,12,P,0,,,V,V,N
,KY,2007,20,N,0,,,V,V,N
,KY,2008,20,N,0,,,V,V,N
133,KZ,2007,24,P,0,,,V,V,N
133,KZ,2008,24,P,0,,,V,V,N
162,KZ,2007,20,P,0,,,V,V,N
162,KZ,2008,20,P,0,,,V,V,N
164,KZ,2007,24,P,0,,,V,V,N
164,KZ,2008,24,P,0,,,V,V,N
,LA,2007,28,P,0,,,V,V,N
,LA,2008,28,P,0,,,V,V,N
072,LB,2007,8,P,4,24/03/2007 22:00:00,27/10/2007 21:00:00,V,V,N
,LC,2007,16,N,0,,,V,V,N
,LC,2008,16,N,0,,,V,V,N
091,LI,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
091,LI,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
187,LK,2007,22,P,0,,,V,V,N
187,LK,2008,22,P,0,,,V,V,N
,LR,2007,0,P,0,,,V,V,N
,LR,2008,0,P,0,,,V,V,N
,LS,2007,8,P,0,,,V,V,S
,LS,2008,8,P,0,,,V,V,S
125,LT,2007,8,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
125,LT,2008,8,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
073,LU,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
073,LU,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
126,LV,2007,8,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
126,LV,2008,8,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
122,LY,2007,8,P,0,,,V,V,N
,MA,2008,0,P,0,,,V,V,N
074,MC,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
074,MC,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
135,MD,2007,8,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
135,MD,2008,8,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
188,ME,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
188,ME,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
,MG,2007,12,P,0,,,V,V,S
,MG,2008,12,P,0,,,V,V,S
075,MH,2007,48,P,0,,,V,V,S
075,MH,2008,48,P,0,,,V,V,S
076,MH,2007,48,P,0,,,V,V,S
076,MH,2008,48,P,0,,,V,V,S
159,MK,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
159,MK,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
,ML,2007,0,P,0,,,V,V,N
,ML,2008,0,P,0,,,V,V,N
175,MN,2007,32,P,4,30/03/2007 18:00:00,28/09/2007 17:00:00,V,V,N
175,MN,2008,32,P,4,28/03/2008 18:00:00,26/09/2008 17:00:00,V,V,N
,MO,2007,32,P,0,,,V,V,N
,MO,2008,32,P,0,,,V,V,N
,MP,2007,40,P,0,,,V,V,N
,MP,2008,40,P,0,,,V,V,N
,MQ,2007,16,N,0,,,V,V,N
,MQ,2008,16,N,0,,,V,V,N
,MR,2007,0,P,0,,,V,V,N
,MR,2008,0,P,0,,,V,V,N
,MS,2007,16,N,0,,,V,V,N
,MS,2008,16,N,0,,,V,V,N
078,MT,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
078,MT,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
,MU,2007,16,P,0,,,V,V,N
,MU,2008,16,P,0,,,V,V,N
,MW,2007,8,P,0,,,V,V,S
,MW,2008,8,P,0,,,V,V,S
079,MX,2007,28,N,4,01/04/2007 09:00:00,28/10/2007 08:00:00,V,V,N
079,MX,2008,28,N,4,06/04/2008 09:00:00,26/10/2008 08:00:00,V,V,N
080,MX,2007,32,N,4,01/04/2007 10:00:00,28/10/2007 09:00:00,V,V,N
080,MX,2008,32,N,4,06/04/2008 10:00:00,26/10/2008 09:00:00,V,V,N
097,MX,2007,28,N,0,,,V,V,N
097,MX,2008,28,N,0,,,V,V,N
168,MX,2007,24,N,4,01/04/2007 08:00:00,28/10/2007 07:00:00,V,V,N
168,MX,2008,24,N,4,06/04/2008 08:00:00,26/10/2008 07:00:00,V,V,N
,MY,2007,32,P,0,,,V,V,N
,MY,2008,32,P,0,,,V,V,N
,MZ,2007,8,P,0,,,V,V,S
