KEY,STATE_CODE,STATE_NAME,COUNTRY_CODE,REL_REGION_CODE,REL_CONTINENT_CODE
BRAL,AL,ALAGOAS,BR,SAMER,ITC1
BRAM,AM,AMAZONAS,BR,SAMER,ITC1
BRAP,AP,AMAPA,BR,SAMER,ITC1
BRBA,BA,BAHIA,BR,SAMER,ITC1
BRCE,CE,CEARA,BR,SAMER,ITC1
BRDF,DF,DISTRITO FEDERAL,BR,SAMER,ITC1
BRES,ES,ESPIRITO SANTO,BR,SAMER,ITC1
BRFN,FN,FERNANDO DE NORONHA,BR,SAMER,ITC1
BRGO,GO,GOIAS,BR,SAMER,ITC1
BRMA,MA,MARANHAO,BR,SAMER,ITC1
BRMG,MG,MINAS GERAIS,BR,SAMER,ITC1
BRMS,MS,MATO GROSSO DO SUL,BR,SAMER,ITC1
BRMT,MT,MATO GROSSO,BR,SAMER,ITC1
BRPA,PA,PARA,BR,SAMER,ITC1
BRPB,PB,PARAIBA,BR,SAMER,ITC1
BRPE,PE,PERNAMBUCO,BR,SAMER,ITC1
BRPI,PI,PIAUI,BR,SAMER,ITC1
BRPR,PR,PARANA,BR,SAMER,ITC1
BRRJ,RJ,RIO DE JANERIO,BR,SAMER,ITC1
BRRN,RN,RIO GRANDE DO NORTE,BR,SAMER,ITC1
BRRO,RO,RONDONIA,BR,SAMER,ITC1
BRRR,RR,RORAIMA,BR,SAMER,ITC1
BRRS,RS,RIO GRANDE DO SUL,BR,SAMER,ITC1
BRSC,SC,SANTA CATARINA,BR,SAMER,ITC1
BRSE,SE,SERGIPE,BR,SAMER,ITC1
BRSP,SP,SAO PAULO,BR,SAMER,ITC1
BRTO,TO,TOCANTINS,BR,SAMER,ITC1
CAAB,AB,ALBERTA,CA,NAMER,ITC1
CABC,BC,BRITISH COLUMBIA,CA,NAMER,ITC1
CAMB,MB,MANITOBA,CA,NAMER,ITC1
CANB,NB,NEW BRUNSWICK,CA,NAMER,ITC1
CANL,NL,NEWFOUNDLAND AND LABRADOR-NEW,CA,NAMER,ITC1
CANS,NS,NOVA SCOTIA,CA,NAMER,ITC1
CANT,NT,NORTHWEST TERRITORIES,CA,NAMER,ITC1
CANU,NU,NUNAVUT,CA,NAMER,ITC1
CAON,ON,ONTARIO,CA,NAMER,ITC1
CAPE,PE,PRINCE EDWARD ISLAND,CA,NAMER,ITC1
CAQC,QC,QUEBEC,CA,NAMER,ITC1
CASK,SK,SASKATCHEWAN,CA,NAMER,ITC1
CAYT,YT,YUKON TERRITORIES,CA,NAMER,ITC1
USAK,AK,ALASKA,US,NAMER,ITC1
USAL,AL,ALABAMA,US,NAMER,ITC1
USAR,AR,ARKANSAS,US,NAMER,ITC1
USAZ,AZ,ARIZONA,US,NAMER,ITC1
USCA,CA,CALIFORNIA,US,NAMER,ITC1
USCO,CO,COLORADO,US,NAMER,ITC1
USCT,CT,CONNECTICUT,US,NAMER,ITC1
USDC,DC,DISTRICT OF COLUMBIA,US,NAMER,ITC1
USDE,DE,DELAWARE,US,NAMER,ITC1
