KEY,DIFFER_GMT,DIFFER_SIGN,REL_COUNTRY_CODE,TZ_GROUP,DAYLIGHT_SAVINGS,ED1,DD1,ED2,DD2
PL089,4,P,PL,089,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
PM090,12,N,PM,090,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
PR,16,N,PR,,0,,,,
PS190,8,P,PS,190,4,30/03/2007,26/09/2007,28/03/2008,25/09/2008
PT092,0,P,PT,092,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
PT158,4,N,PT,158,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
PW,36,P,PW,,0,,,,
PY093,16,N,PY,093,4,21/10/2007,08/03/2008,19/10/2008,07/03/2009
QA,12,P,QA,,0,,,,
RE,16,P,RE,,0,,,,
RO094,8,P,RO,094,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RS189,4,P,RS,189,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU130,12,P,RU,130,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU140,16,P,RU,140,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU141,20,P,RU,141,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU142,24,P,RU,142,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU143,28,P,RU,143,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU144,32,P,RU,144,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU145,36,P,RU,145,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU146,40,P,RU,146,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU147,44,P,RU,147,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU148,48,P,RU,148,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU160,8,P,RU,160,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RW,8,P,RW,,0,,,,
SA,12,P,SA,,0,,,,
SB,44,P,SB,,0,,,,
SC,16,P,SC,,0,,,,
SD,12,P,SD,,0,,,,
SD172,12,P,SD,172,0,,,,
SE095,4,P,SE,095,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
SG,32,P,SG,,0,,,,
SH,0,P,SH,,0,,,,
SI153,4,P,SI,153,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
SK156,4,P,SK,156,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
SL,0,P,SL,,0,,,,
SM096,4,P,SM,096,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
SN,0,P,SN,,0,,,,
SO,12,P,SO,,0,,,,
SR,12,N,SR,,0,,,,
ST,0,P,ST,,0,,,,
SV,24,N,SV,,0,,,,
SY098,8,P,SY,098,4,30/03/2007,30/09/2007,01/04/2008,30/09/2008
SZ,8,P,SZ,,0,,,,
TC099,20,N,TC,099,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
TD,4,P,TD,,0,,,,
TG,0,P,TG,,0,,,,
TH,28,P,TH,,0,,,,
TJ136,20,P,TJ,136,0,,,,
TL,36,P,TL,,0,,,,
TM137,20,P,TM,137,0,,,,
TN100,4,P,TN,100,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
TO173,52,P,TO,173,0,,,,
TR101,8,P,TR,101,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
TT,16,N,TT,,0,,,,
TV,48,P,TV,,0,,,,
TW,32,P,TW,,0,,,,
TZ,12,P,TZ,,0,,,,
UA127,8,P,UA,127,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
UG,12,P,UG,,0,,,,
UM102,40,N,UM,102,0,,,,
UM103,44,N,UM,103,0,,,,
UM104,48,P,UM,104,0,,,,
US105,20,N,US,105,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US107,24,N,US,107,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US108,28,N,US,108,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US109,28,N,US,109,0,,,,
US110,32,N,US,110,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US111,36,N,US,111,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US112,40,N,US,112,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US113,40,N,US,113,0,,,,
UY114,12,N,UY,114,4,07/10/2007,08/03/2008,05/10/2008,07/03/2009
UZ138,20,P,UZ,138,0,,,,
VC,16,N,VC,,0,,,,
VE,16,N,VE,,0,,,,
VG,16,N,VG,,0,,,,
VI,16,N,VI,,0,,,,
VN,28,P,VN,,0,,,,
VU115,44,P,VU,115,0,,,,
WF,48,P,WF,,0,,,,
WS,44,N,WS,,0,,,,
YE,12,P,YE,,0,,,,
YT,12,P,YT,,0,,,,
ZA,8,P,ZA,,0,,,,
ZM,8,P,ZM,,0,,,,
ZW,8,P,ZW,,0,,,,
ZZ,0,P,ZZ,,0,,,,
AD001,4,P,AD,001,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
AE,16,P,AE,,0,,,,
AF,18,P,AF,,0,,,,
AG,16,N,AG,,0,,,,
AI,16,N,AI,,0,,,,
AL002,4,P,AL,002,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
AM151,16,P,AM,151,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
AN,16,N,AN,,0,,,,
AO,4,P,AO,,0,,,,
AQ,0,P,AQ,,0,,,,
AR003,12,N,AR,003,0,,,,
AS,44,N,AS,,0,,,,
AT005,4,P,AT,005,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
AU006,42,P,AU,006,2,28/10/2007,29/03/2008,26/10/2008,28/03/2009
AU007,40,P,AU,007,4,28/10/2007,29/03/2008,26/10/2008,28/03/2009
AU008,40,P,AU,008,4,07/10/2007,29/03/2008,05/10/2008,28/03/2009
AU009,38,P,AU,009,4,28/10/2007,29/03/2008,26/10/2008,28/03/2009
AU010,38,P,AU,010,0,,,,
AU011,32,P,AU,011,4,28/10/2007,29/03/2008,26/10/2008,28/03/2009
AU131,40,P,AU,131,4,,,,
AW,16,N,AW,,0,,,,
AZ150,16,P,AZ,150,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BA154,4,P,BA,154,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BB,16,N,BB,,0,,,,
BD,24,P,BD,,0,,,,
BE012,4,P,BE,012,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BF,0,P,BF,,0,,,,
BG013,8,P,BG,013,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BH,12,P,BH,,0,,,,
BI,8,P,BI,,0,,,,
BJ,4,P,BJ,,0,,,,
