Export data from the tables of Geonames:
alternateName	alternateName	geonameid	name	latitude	longitude	country	fcode	population	timezone	alternatenames
RAS	OIGG	2106	Rasht Airport	37.3253100	49.6058200	IR	AIRP	0	Asia/Tehran	Forudgah-e Rasht,Forūdgāh-e Rasht,OIGG,RAS,Rasht Airport,فرودگاه رشت
GBT	OING	5428	Forūdgāh-e Gorgān	36.9093800	54.4013400	IR	AIRP	0	Asia/Tehran	GBT,Gorgan Airport,OING,furwdgahi gurgan,فُرودگاهِ گُرگان
ACP	OITM	17839	Marāgheh	37.3480200	46.1279000	IR	AIRP	0	Asia/Tehran	ACP,OITM
DEF	OIAD	36617	Forūdgāh-e Dezfūl	32.4333300	48.4333300	IR	AIRP	0	Asia/Tehran	DEF,Forudgah-e Dezful,Forūdgāh-e Dezfūl,OIAD
TGT	HTTG	149607	Tanga	-5.0833300	39.0666700	TZ	AIRP	0	Africa/Dar_es_Salaam	HTTG,TGT
TBO	HTTB	149659	Tabora Airport	-5.0833300	32.8333300	TZ	AIRP	0	Africa/Dar_es_Salaam	HTTB,TBO
KMN	FZSA	214611	Kamina Base	-8.6420200	25.2529000	CD	AIRP	0	Africa/Lubumbashi	FZSA,KMN
KGJ	FWKA	235714	Karonga Airport	-9.9535700	33.8930200	MW	AIRP	0	Africa/Blantyre	FWKA,KGJ,Karonga,Karonga Airport
AEH	FTTC	245786	Abéché	13.8500000	20.8500000	TD	AIRP	0	Africa/Ndjamena	AEH,FTTC
OMF	OJMF	248251	Maţār al Malik Ḩusayn	32.3563500	36.2591800	JO	AIRP	0	Asia/Amman	King Hussein Airport,OJMF,OMF
AQJ	OJAQ	250397	Maţār al `Aqabah	29.6116200	35.0180700	JO	AIRP	0	Asia/Amman	AQJ,Aqaba Airport,OJAQ
ADJ	OJAM	250437	Maţār `Ammān al Madanī	31.9727000	35.9915700	JO	AIRP	0	Asia/Amman	ADJ,Amman Airport,Amman Civil Airport,OJAM
BEY	OLBA	276636	Beirut International Airport	33.8209300	35.4883900	LB	AIRP	0	Asia/Beirut	Aeroport de Beyrouth,Aéroport de Beyrouth,BEY,Beirut International,OLBA
MCT	OOMS	286348	Maţār as Sīb ad Duwalī	23.5932800	58.2844400	OM	AIRP	0	Asia/Muscat	MCT,OOMS,Seeb International Airport
