code,ticketing_name,teleticketing_name,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,rel_continent_code,rel_time_zone_grp,longitude,latitude,numeric_code,is_commercial,city_name,
dgo,durango,durango,durango/mx:guadalupe victoria,dgo,y,,mx,namer,itc1,mx168,-104.7,24,1206,y,durango,
dgp,daugavpils,daugavpils,daugavpils/lv,dgp,y,,lv,eeuro,itc2,lv126,29.68,55.93,,n,daugavpils,
dgr,dargaville,dargaville,dargaville/nz,dgr,y,,nz,austl,itc3,nz084,173.9,-35.93,,n,dargaville,
dgt,dumaguete,dumaguete,dumaguete/ph,dgt,y,,ph,pacif,itc3,ph,123.3,9.3,1207,y,dumaguete,
dgu,dedougou,dedougou,dedougou/bf,dgu,y,,bf,afric,itc2,bf,-3.483,12.47,1208,n,dedougou,
dgw,douglas,douglas,douglas/wy/us:converse county,dgw,y,wy,us,namer,itc1,us108,-105.4,42.75,1209,n,douglas,
dha,dhahran,dhahran,dhahran/sa,dha,y,,sa,meast,itc2,sa,50.17,26.27,,n,dhahran,
dhd,durham downs,durham downs,durham downs/ql/au,dhd,y,ql,au,austl,itc3,au131,141.9,-27.07,1211,n,durham downs,
dhf,abu dhabi al dhaf,abu dhabi al dh,abu dhabi/ae:al dhafra milit,auh,y,,ae,meast,itc2,ae,54.37,24.47,,n,abu dhabi,
dhi,dhangarhi,dhangarhi,dhangarhi/np,dhi,y,,np,asia,itc3,np,80.67,28.25,1212,n,dhangarhi,
dhl,dhala,dhala,dhala/ye,dhl,y,,ye,meast,itc2,ye,44.72,13.73,1213,n,dhala,
dhm,dharamsala,dharamsala,dharamsala/in:gaggal airport,dhm,y,,in,asia,itc3,in,78.47,17.38,,y,dharamsala,
dhn,dothan,dothan,dothan/al/us:regional apt,dhn,y,al,us,namer,itc1,us107,-85.45,31.32,1214,y,dothan,
dhr,den helder,den helder,den helder/nl:de kooy,dhr,y,,nl,europ,itc2,nl082,4.767,52.92,,n,den helder,
dht,dalhart,dalhart,dalhart/tx/us,dht,y,tx,us,namer,itc1,us107,102.5,36.07,,n,dalhart,
dib,dibrugarh,dibrugarh,dibrugarh/in:chabua,dib,y,,in,asia,itc3,in,94.9,27.48,1215,y,dibrugarh,
dic,dili,dili,dili/cd,dic,y,,cd,afric,itc2,cd167,125.6,-8.55,,n,dili,
die,antsiranana,antsiranana,antsiranana/mg:antsiranana,die,y,,mg,afric,itc2,mg,49.3,-12.35,,y,antsiranana,
dig,diqing,diqing,diqing/cn:diqing,dig,y,,cn,asia,itc3,cn035,99.68,27.79,,y,diqing,
dij,dijon,dijon,dijon/fr,dij,y,,fr,europ,itc2,fr052,5.083,47.27,1217,n,dijon,
dik,dickinson,dickinson,dickinson/nd/us,dik,y,nd,us,namer,itc1,us108,-102.8,46.8,1218,y,dickinson,
dil,dili,dili,dili/tl:comoro,dil,y,,tl,asia,itc3,tl,125.4,-8.333,1219,y,dili,
dim,dimbokro,dimbokro,dimbokro/ci,dim,y,,ci,afric,itc2,ci,-4.7,6.65,,n,dimbokro,
din,dien bien phu,dien bien phu,dien bien/vn:dien bien airport,din,y,,vn,seasi,itc3,vn,103,21.38,,y,dien bien phu,
dio,diomede island,diomede island,diomede island/ak/us,dio,y,ak,us,namer,itc1,us111,-169,65.75,1220,n,diomede island,
dip,diapaga,diapaga,diapaga/bf,dip,y,,bf,afric,itc2,bf,1.783,12.05,1221,n,diapaga,
diq,divinopolis,divinopolis,divinopolis/mg/br,diq,y,mg,br,samer,itc1,br015,-52.17,-10.88,,n,divinopolis,
dir,dire dawa,dire dawa,dire dawa/et:aba tenna d yilma,dir,y,,et,afric,itc2,et,41.87,9.633,1222,y,dire dawa,
dis,loubomo,loubomo,loubomo/cg,dis,y,,cg,afric,itc2,cg,12.5,-4.217,1223,n,loubomo,
diu,diu,diu,diu/in,diu,y,,in,asia,itc3,in,70.92,20.72,,y,diu,
div,divo,divo,divo/ci,div,y,,ci,afric,itc2,ci,-5.367,5.833,,n,divo,
diw,dickwella mawella,dickwella mawel,dickwella/lk:mawella lagoon,diw,y,,lk,asia,itc3,lk187,80.73,5.991,,n,dickwella,
diy,diyarbakir,diyarbakir,diyarbakir/tr,diy,y,,tr,euras,itc2,tr101,40.2,37.9,,y,diyarbakir,
dja,djougou,djougou,djougou/bj,dja,y,,bj,afric,itc2,bj,1.667,9.7,,n,djougou,
djb,jambi,jambi,jambi/id:sultan taha syarifudn,djb,y,,id,seasi,itc3,id061,103.6,-1.633,1225,y,jambi,
dje,djerba,djerba,djerba/tn:melita,dje,y,,tn,afric,itc2,tn100,10.78,33.88,1226,y,djerba,
djg,djanet,djanet,djanet/dz:inedbirenne,djg,y,,dz,afric,itc2,dz,9.5,24.45,1227,y,djanet,
djj,jayapura,jayapura,jayapura/id:sentani,djj,y,,id,seasi,itc3,id063,140.5,-2.583,1228,y,jayapura,
djm,djambala,djambala,djambala/cg,djm,y,,cg,afric,itc2,cg,14.75,-2.533,1229,n,djambala,
djn,delta junction,delta junction,delta junction/ak/us,djn,y,ak,us,namer,itc1,us111,-145.7,64.03,,n,delta junction,
djo,daloa,daloa,daloa/ci,djo,y,,ci,afric,itc2,ci,-6.467,6.417,1230,n,daloa,
dju,djupivogur,djupivogur,djupivogur/is,dju,y,,is,europ,itc2,is,-14.17,64.67,1231,n,djupivogur,
dki,dunk island,dunk island,dunk island/ql/au,dki,y,ql,au,austl,itc3,au131,146.2,-17.93,1232,n,dunk island,
dkk,dunkirk,dunkirk,dunkirk/ny/us,dkk,y,ny,us,namer,itc1,us105,-79.33,42.48,,n,dunkirk,
dkr,dakar,dakar,dakar/sn:yoff,dkr,y,,sn,afric,itc2,sn,-17.5,14.75,1233,y,dakar,
dks,dikson,dikson,dikson/ru,dks,y,,ru,euras,itc2,ru143,80.37,73.52,,n,dikson,
dkv,docker river,docker river,docker river/nt/au,dkv,y,nt,au,austl,itc3,au010,129.1,-24.87,,n,docker river,
dla,douala,douala,douala/cm,dla,y,,cm,afric,itc2,cm,9.717,4.017,1234,y,douala,
dlb,dalbertis,dalbertis,dalbertis/pg,dlb,y,,pg,austl,itc3,pg,118.8,-8.45,,n,dalbertis,
dlc,dalian,dalian,dalian/cn,dlc,y,,cn,asia,itc3,cn035,121.6,38.97,1235,y,dalian,
dld,geilo,geilo,geilo/no:dagali airport,dld,y,,no,europ,itc2,no083,8.5,60.47,,n,geilo,
dle,dole,dole,dole/fr:tavaux,dle,y,,fr,europ,itc2,fr052,5.117,47.03,1236,n,dole,
dlf,del rio afb,del rio afb,del rio/tx/us:laughlin afb,drt,y,tx,us,namer,itc1,us107,-100.9,29.37,,n,del rio,
dlg,dillingham,dillingham,dillingham/ak/us:municipal,dlg,y,ak,us,namer,itc1,us111,-158.5,59.07,1237,y,dillingham,
dlh,duluth int,duluth int,duluth/mn/us:duluth intl,dlh,y,mn,us,namer,itc1,us107,-92.18,46.83,,y,duluth,
dli,dalat,dalat,dalat/vn:lienkhang,dli,y,,vn,seasi,itc3,vn,108.4,11.75,1239,y,dalat,
dlk,dulkaninna,dulkaninna,dulkaninna/sa/au,dlk,y,sa,au,austl,itc3,au009,139.5,-29.02,,n,dulkaninna,
dll,dillon,dillon,dillon/sc/us,dll,y,sc,us,namer,itc1,us105,-79.37,34.42,1240,n,dillon,
dlm,dalaman,dalaman,dalaman/tr,dlm,y,,tr,euras,itc2,tr101,28.78,36.72,,y,dalaman,
dln,dillon,dillon,dillon/mt/us,dln,y,mt,us,namer,itc1,us108,-112.6,45.22,,n,dillon,
dlo,dolomi,dolomi,dolomi/ak/us,dlo,y,ak,us,namer,itc1,us111,-132.1,55.13,,n,dolomi,
dls,the dalles,the dalles,the dalles/or/us,dls,y,or,us,namer,itc1,us110,-121.2,45.6,1241,n,the dalles,
dlu,dali,dali,dali/cn:dali,dlu,y,,cn,asia,itc3,cn035,100.3,25.67,,y,dali,
dlv,delissaville,delissaville,delissaville/nt/au,dlv,y,nt,au,austl,itc3,au010,130.3,-12.42,1242,n,delissaville,
dly,dillons bay,dillons bay,dillons bay/vu,dly,y,,vu,austl,itc3,vu115,169.2,-18.7,1243,y,dillons bay,
dlz,dalanzadgad,dalanzadgad,dalanzadgad/mn,dlz,y,,mn,asia,itc3,mn175,104.5,43.78,,n,dalanzadgad,
dma,tucson afb,tucson afb,tucson/az/us:davis monthan afb,tus,y,az,us,namer,itc1,us109,-110.9,32.17,,n,tucson,
dmb,zhambyl,zhambyl,zhambyl/kz,dmb,y,,kz,euras,itc3,kz164,71.37,42.9,,y,zhambyl,
dmd,doomadgee,doomadgee,doomadgee/ql/au,dmd,y,ql,au,austl,itc3,au131,138.8,-18,1244,y,doomadgee,
dme,moscow dme,moscow dme,moscow/ru:domodedovo,mow,y,,ru,euras,itc2,ru130,37.88,55.4,1245,y,moscow,
dmm,dammam,dammam,dammam/sa:king fahad intl,dmm,y,,sa,meast,itc2,sa,49.8,26.47,,y,dammam,
dmn,deming,deming,deming/nm/us,dmn,y,nm,us,namer,itc1,us108,-107.8,32.27,,n,deming,
dmo,sedalia,sedalia,sedalia/mo/us,dmo,y,mo,us,namer,itc1,us107,-93.42,38.83,1246,n,sedalia,
dmr,dhamar,dhamar,dhamar/ye,dmr,y,,ye,meast,itc2,ye,44.43,14.53,1247,n,dhamar,
dmt,diamantino,diamantino,diamantino/mt/br,dmt,y,mt,br,samer,itc1,br018,-56.45,-14.42,,n,diamantino,
dmu,dimapur,dimapur,dimapur/in,dmu,y,,in,asia,itc3,in,93.73,25.9,1248,y,dimapur,
dna,okinawa kad afb,okinawa kad afb,okinawa/jp:kadena afb,oka,y,,jp,asia,itc3,jp,127.8,21.43,,n,okinawa,
