aaa,,,y,y,n,y,,pf,pacif,itc3,pf087,-145.5,-17.42,-17.352606,-145.509956,AAA,Anaa,PF
aab,,,y,y,n,y,ql,au,austl,itc3,au131,141,-26.75,-26.75,141,AAB,Arrabury,AU
aac,,,y,y,n,n,,eg,afric,itc2,eg044,33.8,31.13,31.073333,33.835833,AAC,Al Arish,EG
aad,,,y,y,n,n,,sd,afric,itc2,sd172,30.95,18.05,18.05,30.95,AAD,Ad Dabbah,SD
aae,,,y,y,n,y,,dz,afric,itc2,dz,7.817,36.83,36.822225,7.809167,AAE,Annaba Les Salines,DZ
aaf,,,y,y,n,n,fl,us,namer,itc1,us105,-85.03,29.73,29.73,-85.03,AAF,Apalachicola Municipal,US
aag,,,y,y,n,n,pr,br,samer,itc1,br015,-43.27,-22.87,-22.87,-43.27,AAG,Arapoti,BR
aah,,,y,y,n,n,,de,europ,itc2,de040,6.133,50.75,50.75,6.133,AAH,Aachen Merzbruck,DE
aai,,,y,y,n,n,to,br,samer,itc1,br016,-46.93,-12.92,-12.92,-46.93,AAI,Arraias,BR
aaj,,,y,y,n,n,,sr,samer,itc1,sr,-55.37,3.9,3.9,-55.37,AAJ,Awaradam Cayana Airstrip,SR
aak,,,y,y,n,n,,ki,austl,itc3,ki069,174,0.2167,0.2167,174,AAK,Aranuka,KI
aal,,,y,y,n,y,,dk,europ,itc2,dk041,9.933,57.05,57.092789,9.849164,AAL,Aalborg,DK
aam,,,y,y,n,y,,za,afric,itc2,za,31.53,-24.8,-24.8,31.53,AAM,Mala Mala,ZA
aan,,,y,y,n,y,,ae,meast,itc2,ae,55.75,24.25,24.261667,55.609167,AAN,Al Ain,AE
aao,,,y,y,n,n,,ve,samer,itc1,ve194,-64.47,9.417,9.430225,-64.470725,AAO,Anaco,VE
aap,hou,,y,n,n,n,tx,us,namer,itc1,us107,-95.3,29.65,29.65,-95.3,HOU,Houston Hobby,US
aaq,,,y,y,n,y,,ru,euras,itc2,ru130,37.32,44.9,45.002097,37.347272,AAQ,Anapa,RU
aar,,,y,y,n,y,,dk,europ,itc2,dk041,10.62,56.3,56.300017,10.619008,AAR,Aarhus Aarhus,DK
aas,,,y,y,n,n,,id,seasi,itc3,id063,139.3,-3.917,-3.917,139.3,AAS,Apalapsili,ID
aat,,,y,y,n,y,,cn,asia,itc3,cn035,89.5,43.93,43.93,89.5,AAT,Altay,CN
aau,,,y,y,n,n,,ws,austl,itc3,ws,-172.6,-13.45,-13.45,-172.6,AAU,Asau,WS
aav,,,y,y,n,n,,ph,pacif,itc3,ph,124.8,6.333,6.333,124.8,AAV,Alah,PH
aaw,,,y,y,n,n,,pk,asia,itc3,pk163,73.25,34.2,34.2,73.25,AAW,Abbottabad,PK
aax,,,y,y,n,y,mg,br,samer,itc1,br015,-46.92,-19.57,-19.57,-46.92,AAX,Araxa,BR
aay,,,y,y,n,y,,ye,meast,itc2,ye,52.18,16.2,16.191667,52.175,AAY,Al Ghaydah,YE
aaz,,,y,y,n,n,,gt,camer,itc1,gt119,-91.5,14.86,14.86,-91.5,AAZ,Quetzaltenan Quetzaltenango,GT
