concat(code, ',,,', is_airport, ',y,n,', is_commercial, ',')	trim(state_code)	concat(',', rel_country_code, ',', rel_region_code, ',', rel_continent_code, ',', rel_time_zone_grp, ',')	longitude	,	latitude	,
aaa,,,y,y,n,y,		,pf,pacif,itc3,pf087,	-145.5	,	-17.42	,
aab,,,y,y,n,y,	ql	,au,austl,itc3,au131,	141	,	-26.75	,
aac,,,y,y,n,n,		,eg,afric,itc2,eg044,	33.8	,	31.13	,
aad,,,y,y,n,n,		,sd,afric,itc2,sd172,	30.95	,	18.05	,
aae,,,y,y,n,y,		,dz,afric,itc2,dz,	7.817	,	36.83	,
aaf,,,y,y,n,n,	fl	,us,namer,itc1,us105,	-85.03	,	29.73	,
aag,,,y,y,n,n,	pr	,br,samer,itc1,br015,	-43.27	,	-22.87	,
aah,,,y,y,n,n,		,de,europ,itc2,de040,	6.133	,	50.75	,
aai,,,y,y,n,n,	to	,br,samer,itc1,br016,	-46.93	,	-12.92	,
aaj,,,y,y,n,n,		,sr,samer,itc1,sr,	-55.37	,	3.9	,
aak,,,y,y,n,n,		,ki,austl,itc3,ki069,	174	,	0.2167	,
aal,,,y,y,n,y,		,dk,europ,itc2,dk041,	9.933	,	57.05	,
aam,,,y,y,n,y,		,za,afric,itc2,za,	31.53	,	-24.8	,
aan,,,y,y,n,y,		,ae,meast,itc2,ae,	55.75	,	24.25	,
aao,,,y,y,n,n,		,ve,samer,itc1,ve194,	-64.47	,	9.417	,
aap,hou,,y,n,n,n,	tx	,us,namer,itc1,us107,	-95.3	,	29.65	,
aaq,,,y,y,n,y,		,ru,euras,itc2,ru130,	37.32	,	44.9	,
aar,,,y,y,n,y,		,dk,europ,itc2,dk041,	10.62	,	56.3	,
aas,,,y,y,n,n,		,id,seasi,itc3,id063,	139.3	,	-3.917	,
aat,,,y,y,n,y,		,cn,asia,itc3,cn035,	89.5	,	43.93	,
aau,,,y,y,n,n,		,ws,austl,itc3,ws,	-172.6	,	-13.45	,
aav,,,y,y,n,n,		,ph,pacif,itc3,ph,	124.8	,	6.333	,
aaw,,,y,y,n,n,		,pk,asia,itc3,pk163,	73.25	,	34.2	,
aax,,,y,y,n,y,	mg	,br,samer,itc1,br015,	-46.92	,	-19.57	,
aay,,,y,y,n,y,		,ye,meast,itc2,ye,	52.18	,	16.2	,
aaz,,,y,y,n,n,		,gt,camer,itc1,gt119,	-91.5	,	14.86	,
aba,,,y,y,n,y,		,ru,euras,itc2,ru143,	91.43	,	53.72	,
abb,,,y,y,n,n,		,gb,europ,itc2,gb053,	-0.3	,	51.53	,
abc,,,y,y,n,y,		,es,europ,itc2,es045,	-15.18	,	38.95	,
abd,,,y,y,n,y,		,ir,meast,itc2,ir120,	48.23	,	30.37	,
abe,,,y,y,n,y,	pa	,us,namer,itc1,us105,	-75.43	,	40.65	,
abf,,,y,y,n,n,		,ki,austl,itc3,ki069,	172.8	,	1.417	,
abg,,,y,y,n,n,	ql	,au,austl,itc3,au131,	143.2	,	-17.67	,
abh,,,y,y,n,n,	ql	,au,austl,itc3,au131,	146.6	,	-23.7	,
abi,,,y,y,n,y,	tx	,us,namer,itc1,us107,	-99.68	,	32.42	,
abj,,,y,y,n,y,		,ci,afric,itc2,ci,	-3.933	,	5.25	,
abk,,,y,y,n,y,		,et,afric,itc2,et,	44.27	,	6.733	,
abl,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-157.8	,	67.1	,
abm,,,y,y,n,y,	ql	,au,austl,itc3,au131,	142.4	,	-10.87	,
abn,,,y,y,n,n,		,sr,samer,itc1,sr,	-54.05	,	5.483	,
abo,,,y,y,n,n,		,ci,afric,itc2,ci,	-3.2	,	5.467	,
abp,,,y,y,n,n,		,pg,austl,itc3,pg,	141.1	,	-6.067	,
abq,,,y,y,n,y,	nm	,us,namer,itc1,us108,	-106.6	,	35.05	,
abr,,,y,y,n,y,	sd	,us,namer,itc1,us107,	-98.43	,	45.45	,
abs,,,y,y,n,y,		,eg,afric,itc2,eg044,	31.62	,	22.37	,
abt,,,y,y,n,y,		,sa,meast,itc2,sa,	42.22	,	22.83	,
