concat_ws(',', language_code, code, classical_name, extended_name, alternate_name1, alternate_name2, alternate_name3, alternate_name4, alternate_name5, alternate_name6, alternate_name7, alternate_name8, alternate_name9, alternate_name10)
en,aaa,anaa,anaa/pf
en,aab,arrabury,arrabury/ql/au
en,aac,al arish,al arish/eg
en,aad,ad dabbah,ad dabbah/sd
en,aae,annaba,annaba/dz:les salines
en,aaf,apalachicola,apalachicola/fl/us:municipal
en,aag,arapoti,arapoti/pr/br
en,aah,aachen,aachen/de:merzbruck
en,aai,arraias,arraias/to/br
en,aaj,awaradam,awaradam/sr:cayana airstrip
en,aak,aranuka,aranuka/ki
en,aal,aalborg,aalborg/dk
en,aam,mala mala,mala mala/za
en,aan,al ain,al ain/ae
en,aao,anaco,anaco/ve
en,aap,houston andrau,houston/tx/us:andrau airpark
en,aaq,anapa,anapa/ru
en,aar,aarhus,aarhus/dk:aarhus
en,aas,apalapsili,apalapsili/id
en,aat,altay,altay/cn
en,aau,asau,asau/ws
en,aav,alah,alah/ph
en,aaw,abbottabad,abbottabad/pk
en,aax,araxa,araxa/mg/br
en,aay,al ghaydah,al ghaydah/ye
en,aaz,quetzaltenango,quetzaltenan/gt:quetzaltenango
en,aba,abakan,abakan/ru
en,abb,abingdon,abingdon/gb:raf station
en,abc,albacete,albacete/es:los llanos
en,abd,abadan,abadan/ir
en,abe,allentown bthlehm,allentown bthlehm/pa/us
en,abf,abaiang,abaiang/ki
en,abg,abingdon,abingdon/ql/au
en,abh,alpha,alpha/ql/au
en,abi,abilene,abilene/tx/us:abilene mnpl
en,abj,abidjan,abidjan/ci:f houphouet boigny
en,abk,kabri dar,kabri dar/et
en,abl,ambler,ambler/ak/us
en,abm,bamaga,bamaga/ql/au
en,abn,albina,albina/sr
en,abo,aboisso,aboisso/ci
en,abp,atkamba,atkamba/pg
en,abq,albuquerque,albuquerque/nm/us:intl
en,abr,aberdeen,aberdeen/sd/us:aberdeen mnpl
en,abs,abu simbel,abu simbel/eg
en,abt,al baha,al baha/sa:al aqiq
en,abu,atambua,atambua/id
en,abv,abuja,abuja/ng:international
en,abw,abau,abau/pg
en,abx,albury,albury/ns/au
en,aby,albany dough cnty,albany/ga/us:dougherty county
en,abz,aberdeen dyce,aberdeen/gb:dyce
en,aca,acapulco,acapulco/mx:alvarez intl
en,acb,bellaire,bellaire/mi/us:antrim county
en,acc,accra,accra/gh:kotoka
en,acd,acandi,acandi/co
en,ace,lanzarote,lanzarote/es
en,ach,altenrhein,altenrhein/ch
en,aci,alderney,alderney/gb:the blaye
en,acj,anuradhapura,anuradhapura/lk:anuradhapura
en,ack,nantucket,nantucket/ma/us:memorial
en,acl,aguaclara,aguaclara/co
en,acm,arica,arica/co
en,acn,ciudad acuna,ciudad ac/mx:ciudad acuna intl
en,aco,ascona,ascona/ch
en,acp,sahand,sahand/ir:sahand airport
en,acr,araracuara,araracuara/co
en,acs,achinsk,achinsk/ru
en,act,waco municipal,waco/tx/us:waco mnpl
en,acu,achutupo,achutupo/pa
en,acv,arcata,arcata/ca/us:eureka
en,acx,xingyi,xingyi/cn:xingyi
en,acy,atlantic cty acy,atlantic cty/nj/us:intl
en,acz,zabol,zabol/ir:zabol airport
en,ada,adana,adana/tr
en,adb,izmir menderes,izmir/tr:adnan menderes
en,adc,andakombe,andakombe/pg
en,add,addis ababa,addis ababa/et:bole
en,ade,aden,aden/ye:international
en,adf,adiyaman,adiyaman/tr:adiyaman
en,adg,adrian,adrian/mi/us:lenawee county
en,adh,aldan,aldan/ru
en,adi,arandis,arandis/na
en,adj,amman civil marka,amman c/jo:civil marka airport
en,adk,adak island,adak island/ak/us:adak island
en,adl,adelaide,adelaide/sa/au
en,adm,ardmore municipal,ardmore/ok/us:municipal
en,adn,andes,andes/co
en,ado,andamooka,andamooka/sa/au
en,adp,ampara,ampara/lk:ampara
en,adq,kodiak,kodiak/ak/us:kodiak airport
en,adr,andrews,andrews/sc/us
en,ads,dallas addison,dallas/tx/us:addison
en,adt,ada,ada/ok/us
en,adu,ardabil,ardabil/ir
en,adv,andover,andover/gb
en,adw,camp springs adw,camp springs/md/us:andrews afb,air force base
en,adx,st andrews,st andrews/gb:leuchars
en,ady,alldays,alldays/za
en,adz,san andres island,san andres island/co
en,aea,abemama atoll,abemama atoll/ki
en,aeb,baise,baise/cn
